"POS_RK",POS_TIERS,"PLAYER NAME",TEAM,"AVG_FAN PTS","AVG_RUSH_ATT","AVG_RUSH_YDS","AVG_RUSH_TDS","AVG_REC_TGT","AVG_REC","AVG_REC_YDS","AVG_REC_TDS"
"142",10,"Elijah McGuire",KC,"0","0","0","0","0","0","0","0"
"143",10,"Trenton Cannon",CAR,"0.4","0.7","2.4","0.0","0.2","0.2","1.1","0.0"
"144",10,"Alec Ingold",LV,"1.1","0.2","0.3","0.0","1.1","0.8","6.9","0.1"
"145",10,"Tony Brooks-James",ATL,"0.4","3.0","4.0","0.0","0.0","0.0","0.0","0.0"
"146",10,"Josh Adams",NYJ,"3.8","3.6","19.6","0.3","1.0","0.8","3.6","0.0"
"147",10,"Patrick Ricard",BAL,"0.5","0.1","-0.1","0.0","0.8","0.6","3.0","0.1"
"148",10,"J.J. Taylor",NE,"1.9","3.8","18.3","0.0","0.3","0.2","0.7","0.0"
"149",11,"Michael Burton",KC,"0.3","0.5","1.2","0.0","0.3","0.3","1.9","0.0"
"150",11,"Patrick Laird",MIA,"0.8","0.8","4.5","0.0","0.8","0.6","4.3","0.0"
"151",11,"Antonio Williams",BUF,"20.3","12.0","63.0","2.0","1.0","1.0","20.0","0.0"
"152",11,"DeAndre Washington",FA,"3.0","7.8","22.8","0.0","2.5","1.3","7.5","0.0"
"153",11,"Rico Dowdle",DAL,"0.2","0.5","1.6","0.0","0.0","0.0","0.0","0.0"
"154",11,"Khari Blasingame",TEN,"0.3","0.0","0.0","0.0","0.3","0.3","2.6","0.0"
"155",11,"Reggie Bonnafon",CAR,"7.3","6.0","34.5","0.0","1.0","1.0","9.0","0.5"
"156",11,"Bo Scarbrough",FA,"3.1","6.0","31.0","0.0","0.0","0.0","0.0","0.0"
"157",11,"Dedrick Mills",DET,"0","0","0","0","0","0","0","0"
"158",11,"Theo Riddick",LV,"1.1","1.2","2.8","0.0","1.2","1.0","8.6","0.0"
"159",11,"Jacques Patrick",CIN,"0","0","0","0","0","0","0","0"
"160",11,"Lynn Bowden Jr.",MIA,"0","0","0","0","0","0","0","0"
"161",11,"Jakob Johnson",NE,"0.6","0.0","0.0","0.0","0.6","0.5","2.2","0.1"
"162",11,"Buddy Howell",HOU,"0.5","1.1","4.6","0.0","0.1","0.1","0.2","0.0"
"163",11,"Rodney Smith",CAR,"3.9","5.9","22.3","0.1","1.6","1.3","8.4","0.0"
"164",11,"Lamar Miller",WAS,"0.6","0.0","0.0","0.0","2.0","2.0","6.0","0.0"
"165",11,"Andy Janovich",CLE,"0.1","0.1","0.3","0.0","0.4","0.1","0.9","0.0"
"166",11,"Ty'Son Williams",BAL,"0","0","0","0","0","0","0","0"
"167",11,"Otis Anderson Jr.",LAR,"0","0","0","0","0","0","0","0"
"168",11,"Jonathan Ward",ARI,"0.5","0.0","0.0","0.0","0.1","0.1","0.8","0.1"
"169",11,"Dexter Williams",GB,"0.3","0.7","2.7","0.0","0.0","0.0","0.0","0.0"
"170",11,"Dwayne Washington",NO,"0.1","0.7","1.4","0.0","0.0","0.0","0.0","0.0"
"171",11,"Brenden Knox",DAL,"0","0","0","0","0","0","0","0"
"172",11,"Alex Armah",NO,"0.2","0.4","0.6","0.0","0.6","0.3","1.1","0.0"
"173",11,"Rakeem Boyd",FA,"0","0","0","0","0","0","0","0"
"174",11,"Caleb Huntley",ATL,"0","0","0","0","0","0","0","0"
"175",11,"JaQuan Hardy",DAL,"0","0","0","0","0","0","0","0"
"176",11,"Troymaine Pope",TB,"2.0","2.5","12.7","0.0","1.7","1.3","7.0","0.0"
"177",11,"Derek Watt",PIT,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"178",11,"Tre Harbison",CLE,"0","0","0","0","0","0","0","0"
"179",11,"Sewo Olonilua",DAL,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"180",11,"Taiwan Jones",BUF,"0.0","0.0","0.0","0.0","0.2","0.0","0.0","0.0"
"181",11,"Brandon Bolden",NE,"0","0","0","0","0","0","0","0"
"182",11,"John Kelly",CLE,"0","0","0","0","0","0","0","0"
"183",11,"Ryan Nall",CHI,"0.8","0.2","0.0","0.0","0.6","0.5","4.5","0.1"
"184",11,"Mekhi Sargent",TEN,"0","0","0","0","0","0","0","0"
"185",11,"Michael Warren II",DET,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"186",11,"Scottie Phillips",HOU,"0.2","0.3","1.1","0.0","0.1","0.1","0.9","0.0"
"187",11,"Austin Walter",NYJ,"0.8","0.3","0.8","0.0","0.3","0.3","6.8","0.0"
"188",12,"Dontrell Hilliard",HOU,"0.7","1.3","6.9","0.0","0.1","0.1","0.3","0.0"
"189",12,"Reggie Gilliam",BUF,"0.5","0.0","0.0","0.0","0.1","0.1","1.1","0.1"
"190",12,"Artavis Pierce",CHI,"1.9","1.2","6.8","0.2","0.0","0.0","0.0","0.0"
"191",12,"Elijhaa Penny",NYG,"0.3","0.4","1.1","0.0","0.2","0.1","1.4","0.0"
"192",12,"C.J. Prosise",TB,"0.8","1.0","1.9","0.0","0.5","0.5","1.8","0.1"
"193",12,"Cullen Gillaspia",NYG,"0.1","0.0","0.0","0.0","0.1","0.1","0.9","0.0"
"194",12,"Tony Jones Jr.",NO,"1.3","3.0","13.0","0.0","0.0","0.0","0.0","0.0"
"195",12,"Jonathan Williams",WAS,"0.1","0.2","1.0","0.0","0.8","0.8","4.2","0.0"
"196",12,"Alfred Morris",FA,"4.2","6.1","26.4","0.1","0.4","0.3","2.1","0.1"
"197",12,"Ben Mason",BAL,"0","0","0","0","0","0","0","0"
"198",12,"Nate McCrary",BAL,"0","0","0","0","0","0","0","0"
"199",12,"Darius Anderson",IND,"0","0","0","0","0","0","0","0"
"200",12,"Tavien Feaster",ARI,"0","0","0","0","0","0","0","0"
"201",12,"Khalfani Muhammad",ARI,"0","0","0","0","0","0","0","0"
"202",12,"Jason Huntley",PHI,"0.4","1.0","3.8","0.0","0.4","0.2","0.0","0.0"
"203",12,"Darius Bradwell",LAC,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"204",12,"Jordan Scarlett",MIA,"0","0","0","0","0","0","0","0"
"205",12,"LeVante Bellamy",DEN,"0.3","0.8","2.2","0.0","0.2","0.2","1.0","0.0"
"206",12,"Johnny Stanton",CLE,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"207",12,"Damarea Crockett",DEN,"0","0","0","0","0","0","0","0"
"208",12,"Deon Jackson",IND,"0","0","0","0","0","0","0","0"
"209",12,"Adrian Killins Jr.",PHI,"-1.0","1.0","-12.0","0.0","1.0","1.0","2.0","0.0"
"210",12,"Patrick Taylor Jr.",GB,"0","0","0","0","0","0","0","0"
"211",12,"Spencer Brown",CAR,"0","0","0","0","0","0","0","0"
"212",12,"Josh Johnson",SEA,"0","0","0","0","0","0","0","0"
"213",12,"CJ Marable",CHI,"0","0","0","0","0","0","0","0"
"214",12,"Tory Carter",TEN,"0","0","0","0","0","0","0","0"
