"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"311",13,"Kayshon Boutte",NE,"WR111","226","396","289.9","33.4","+109"
"312",13,"Deon Jackson",IND,"RB84","166","368","284.3","53.3","-49"
"313",13,"D'Ernest Johnson",JAC,"RB85","185","388","298.3","37.4","+217"
"314",13,"DeWayne McBride",MIN,"RB86","183","388","304.7","31.1","+10"
"315",13,"Austin Hooper",LV,"TE37","212","351","304.9","26.5","-"
"316",13,"David Bell",CLE,"WR112","220","390","282.5","34.5","-"
"317",13,"Boston Scott",PHI,"RB87","243","393","313.1","32.3","+51"
"318",13,"Daniel Bellinger",NYG,"TE38","207","394","309.4","35.9","-1"
"319",13,"Zonovan Knight",NYJ,"RB88","235","380","309.8","33.8","-"
"320",13,"Malik Davis",DAL,"RB89","177","393","304.3","42.1","-"
"321",13,"Brett Maher",DEN,"K24","170","353","295.1","37.8","-62"
"322",13,"Cade York",CLE,"K25","251","353","304.9","24.8","-42"
"323",13,"James Robinson",FA,"RB90","198","388","307.5","40.3","+8"
"324",13,"Deonte Harty",BUF,"WR113","174","375","261.3","44.6","+258"
"325",13,"Tutu Atwell",LAR,"WR114","196","346","262.0","35.5","-"
"326",13,"Jacoby Brissett",WAS,"QB33","240","379","323.4","27.1","-"
"327",13,"Trey Lance",DAL,"QB34","197","387","308.2","37.0","-52"
"328",13,"Cameron Dicker",LAC,"K26","221","342","292.5","34.2","-132"
"329",13,"Kyle Philips",TEN,"WR115","204","386","278.0","33.7","-"
"330",13,"Minnesota Vikings",MIN,"DST27","167","355","319.8","30.2","-88"
"331",13,"Nelson Agholor",BAL,"WR116","231","382","305.4","36.9","-"
"332",13,"Eric Gray",NYG,"RB91","235","393","323.2","31.6","-"
"333",13,"Hassan Haskins",TEN,"RB92","260","392","319.6","26.7","-"
"334",13,"Michael Badgley",TEN,"K27","203","353","310.4","26.9","-66"
"335",13,"Tyrion Davis-Price",SF,"RB93","269","393","330.5","28.3","+107"
"336",13,"Ronald Jones II",DAL,"RB94","238","386","327.6","29.8","-"
"337",13,"Robbie Chosen",MIA,"WR117","196","396","295.6","40.7","+231"
"338",13,"Melvin Gordon III",BAL,"RB95","240","386","328.2","28.1","-"
"339",13,"Adam Trautman",DEN,"TE39","209","372","315.5","37.0","+77"
"340",13,"Trayveon Williams",CIN,"RB96","183","382","314.9","37.1","-"
"341",13,"Eddy Pineiro",CAR,"K28","251","353","311.1","26.3","-94"
"342",14,"Will Levis",TEN,"QB35","279","397","336.1","26.3","-"
"343",14,"Kyle Trask",TB,"QB36","202","397","327.3","41.1","-"
"344",14,"Colt McCoy",ARI,"QB37","214","387","323.0","35.5","-"
"345",14,"DeeJay Dallas",SEA,"RB97","272","393","332.5","25.0","-"
"346",14,"KJ Hamler",FA,"WR118","226","377","287.7","34.1","-"
"347",14,"Robbie Gould",FA,"K29","221","342","282.1","42.8","-24"
