"POS_RK",POS_TIERS,"PLAYER NAME",TEAM,"FAN PTS","REC_TGT","REC","REC_YDS","REC_TDS","RUSH_ATT","RUSH_YDS","RUSH_TDS"
"26",4,"Diontae Johnson",PIT,"133.8","144","88","923","7","3","15","0"
"27",4,"Courtland Sutton",DEN,"6.6","6","3","66","0","0","0","0"
"28",5,"Chase Claypool",PIT,"152.9","109","62","873","9","10","16","2"
"29",5,"Ja'Marr Chase",CIN,"0","0","0","0","0","0","0","0"
"30",5,"D.J. Chark Jr.",JAC,"100.6","93","53","706","5","0","0","0"
"31",5,"Jerry Jeudy",DEN,"105.6","113","52","856","3","0","0","0"
"32",5,"Robby Anderson",CAR,"129.2","136","95","1096","3","4","15","0"
"33",5,"Deebo Samuel",SF,"47.7","44","33","391","1","8","26","0"
"34",5,"JuJu Smith-Schuster",PIT,"137.1","128","97","831","9","0","0","0"
"35",5,"Brandin Cooks",HOU,"151","119","81","1150","6","0","0","0"
"36",5,"Will Fuller V",MIA,"135.9","75","53","879","8","1","0","0"
"37",5,"Curtis Samuel",WAS,"135.1","97","77","851","3","41","200","2"
"38",5,"Tyler Boyd",CIN,"113.64","110","79","841","4","5","49","0"
"39",5,"DeVonta Smith",PHI,"0","0","0","0","0","0","0","0"
"40",6,"Mike Williams",LAC,"105.7","85","48","756","5","1","1","0"
"41",6,"Jarvis Landry",CLE,"115.96","101","72","840","3","4","10","1"
"42",6,"Michael Thomas",NO,"43.9","55","40","438","0","1","1","0"
"43",6,"Michael Gallup",DAL,"114.3","105","59","843","5","0","0","0"
"44",6,"Laviska Shenault Jr.",JAC,"99.1","79","58","600","5","18","91","0"
"45",6,"DeVante Parker",MIA,"103.3","103","63","793","4","0","0","0"
"46",6,"Marquise Brown",BAL,"125","100","58","769","8","1","1","0"
"47",6,"Corey Davis",NYJ,"126.4","92","65","984","5","0","0","0"
"48",6,"Antonio Brown",TB,"72.1","62","45","483","4","2","-2","0"
"49",6,"Michael Pittman Jr.",IND,"58.9","61","40","503","1","3","26","0"
"50",6,"Marvin Jones Jr.",JAC,"151.8","115","76","978","9","0","0","0"
"51",6,"Jaylen Waddle",MIA,"0","0","0","0","0","0","0","0"
"52",6,"T.Y. Hilton",IND,"108.2","93","56","762","5","0","0","0"
"53",6,"Mecole Hardman",KC,"87.1","62","41","560","4","4","31","0"
"54",6,"Darnell Mooney",CHI,"91.1","98","61","631","4","4","20","0"
"55",6,"Henry Ruggs III",LV,"58.1","43","26","452","2","9","49","0"
"56",7,"John Brown",LV,"63.8","52","33","458","3","0","0","0"
"57",7,"Jalen Reagor",PHI,"56.2","54","31","396","1","4","26","0"
"58",7,"Nelson Agholor",NE,"137.6","82","48","896","8","0","0","0"
"59",7,"Tre'Quan Smith",NO,"69.1","50","34","448","4","1","3","0"
"60",7,"Cole Beasley",BUF,"125.5","107","82","967","4","0","0","0"
"61",7,"Gabriel Davis",BUF,"101.9","62","35","599","7","1","0","0"
"62",7,"Rashod Bateman",BAL,"0","0","0","0","0","0","0","0"
"63",7,"Russell Gage",ATL,"109.06","109","72","786","4","2","9","0"
"64",7,"Christian Kirk",ARI,"98.4","79","48","621","6","2","3","0"
"65",7,"Jamison Crowder",NYJ,"113.02","89","59","699","6","1","14","0"
"66",7,"Sterling Shepard",NYG,"96.5","90","66","656","3","6","49","1"
"67",7,"Parris Campbell",IND,"8.7","9","6","71","0","2","16","0"
"68",7,"Breshad Perriman",DET,"69.1","60","30","505","3","1","6","0"
"69",7,"Allen Lazard",GB,"64.8","46","33","451","3","2","17","0"
"70",7,"Emmanuel Sanders",BUF,"103.8","82","61","726","5","1","12","0"
"71",7,"Darius Slayton",NYG,"91","96","50","751","3","2","-1","0"
"72",7,"Elijah Moore",NYJ,"0","0","0","0","0","0","0","0"
"73",7,"Rondale Moore",ARI,"0","0","0","0","0","0","0","0"
"74",7,"Jakobi Meyers",NE,"83.52","81","59","729","0","2","9","0"
"75",7,"Denzel Mims",NYJ,"37.7","44","23","357","0","0","0","0"
"76",8,"Marquez Valdes-Scantling",GB,"104.3","63","33","690","6","4","13","0"
"77",8,"Bryan Edwards",LV,"25.3","15","11","193","1","0","0","0"
"78",8,"A.J. Green",ARI,"64.3","104","47","523","2","0","0","0"
"79",8,"Sammy Watkins",BAL,"51.4","55","37","421","2","1","3","0"
"80",8,"Amon-Ra St. Brown",DET,"0","0","0","0","0","0","0","0"
"81",8,"Terrace Marshall Jr.",CAR,"0","0","0","0","0","0","0","0"
"82",8,"Josh Reynolds",TEN,"72.3","81","52","618","2","1","5","0"
"83",8,"DeSean Jackson",LAR,"30.8","26","14","236","1","1","12","0"
"84",8,"Tim Patrick",DEN,"110.2","79","51","742","6","0","0","0"
"85",8,"KJ Hamler",DEN,"60.1","56","30","381","3","9","40","0"
"86",8,"Randall Cobb",GB,"62.1","48","38","441","3","0","0","0"
"87",8,"Anthony Miller",HOU,"59.7","76","49","485","2","2","12","0"
"88",8,"Hunter Renfrow",LV,"75.6","77","56","656","2","0","0","0"
"89",8,"Van Jefferson",LAR,"27.9","31","19","220","1","1","-1","0"
"90",8,"Tyrell Williams",DET,"0","0","0","0","0","0","0","0"
"91",8,"James Washington",PIT,"69.2","56","30","392","5","0","0","0"
"92",8,"Kadarius Toney",NYG,"0","0","0","0","0","0","0","0"
"93",8,"Amari Rodgers",GB,"0","0","0","0","0","0","0","0"
"94",8,"Preston Williams",MIA,"56.8","35","18","288","4","0","0","0"
"95",8,"Rashard Higgins",CLE,"83.9","52","37","599","4","0","0","0"
"96",8,"Zach Pascal",IND,"92.9","71","44","629","5","0","0","0"
"97",8,"Kendrick Bourne",NE,"80.7","74","49","667","2","0","0","0"
"98",8,"Keke Coutee",HOU,"54","40","33","400","3","0","0","0"
"99",8,"Travis Fulgham",PHI,"77.9","67","38","539","4","0","0","0"
"100",8,"Nico Collins",HOU,"0","0","0","0","0","0","0","0"
"101",8,"N'Keal Harry",NE,"40.9","57","33","309","2","2","0","0"
"102",8,"Quintez Cephus",DET,"46.9","35","20","349","2","0","0","0"
"103",8,"Tyron Johnson",LAC,"59.5","26","20","398","3","3","17","0"
"104",9,"Keelan Cole Sr.",NYJ,"100.4","88","55","642","5","1","2","0"
"105",9,"Scotty Miller",TB,"69.5","53","33","501","3","3","14","0"
"106",9,"Donovan Peoples-Jones",CLE,"44.4","20","14","304","2","0","0","0"
"107",9,"Andy Isabella",ARI,"33.8","35","21","224","2","1","-6","0"
"108",9,"D'Wayne Eskridge",SEA,"0","0","0","0","0","0","0","0"
"109",9,"Greg Ward",PHI,"80.1","79","53","419","6","2","-4","0"
"110",9,"Miles Boykin",BAL,"50.6","33","19","266","4","0","0","0"
"111",9,"John Ross",NYG,"1.7","7","2","17","0","0","0","0"
"112",9,"Dyami Brown",WAS,"0","0","0","0","0","0","0","0"
"113",9,"Demarcus Robinson",KC,"62.6","59","45","466","3","0","0","0"
"114",9,"Marquez Callaway",NO,"21.3","27","21","213","0","0","0","0"
"115",9,"Byron Pringle",KC,"28","17","13","160","1","0","0","0"
"116",9,"Olamide Zaccheaus",ATL,"33.4","32","20","274","1","1","0","0"
"117",9,"Lynn Bowden Jr.",MIA,"25.58","37","28","211","0","9","32","0"
"118",10,"Jalen Guyton",LAC,"69.1","55","28","511","3","2","0","0"
"119",10,"Steven Sims Jr.",WAS,"30.3","37","27","265","1","1","18","0"
"120",10,"Josh Palmer",LAC,"0","0","0","0","0","0","0","0"
"121",10,"Cordarrelle Patterson",ATL,"48.4","25","21","132","0","64","232","1"
"122",10,"Tutu Atwell",LAR,"0","0","0","0","0","0","0","0"
"123",10,"Antonio Gandy-Golden",WAS,"2.5","7","1","3","0","1","22","0"
"124",10,"Dede Westbrook",MIN,"-1.6","1","1","4","0","0","0","0"
"125",10,"Tyler Johnson",TB,"28.9","17","12","169","2","0","0","0"
"126",10,"Golden Tate",FA,"51.52","52","35","388","2","0","0","0"
"127",10,"Deonte Harris",NO,"27.7","25","20","186","1","6","51","0"
"128",10,"Tylan Wallace",BAL,"0","0","0","0","0","0","0","0"
"129",10,"Devin Duvernay",BAL,"33.1","26","20","201","0","4","70","0"
"130",10,"Larry Fitzgerald",FA,"46.9","72","54","409","1","0","0","0"
