"PPR_POS_RK",PPR_POS_TIERS,"PLAYER NAME",TEAM,"PPR_FAN PTS","RUSH_ATT","RUSH_YDS","RUSH_TDS","REC_TGT","REC","REC_YDS","REC_TDS"
"78",8,"Ty Johnson",NYJ,"63.3","54","254","1","21","16","99","1"
"79",8,"Javian Hawkins",ATL,"0","0","0","0","0","0","0","0"
"80",8,"Devontae Booker",NYG,"85.7","93","423","3","21","17","84","0"
"81",8,"Ke'Shawn Vaughn",TB,"23.3","26","109","0","10","5","34","1"
"82",8,"Jalen Richard",LV,"51.1","22","123","1","23","19","138","0"
"83",8,"DeeJay Dallas",SEA,"56.9","34","108","2","20","17","111","1"
"84",8,"Samaje Perine",CIN,"65.7","63","301","3","12","11","66","0"
"85",8,"Rex Burkhead",HOU,"107.6","67","274","3","33","25","192","3"
"86",8,"Justice Hill",BAL,"13","12","60","0","5","5","20","0"
"87",8,"Kalen Ballage",PIT,"93.9","91","303","3","37","29","166","0"
"88",8,"Le'Veon Bell",FA,"74.6","82","328","2","20","16","138","0"
"89",8,"Eno Benjamin",ARI,"0","0","0","0","0","0","0","0"
"90",8,"Brian Hill",TEN,"95.4","100","465","1","30","25","199","0"
"91",8,"Jordan Howard",PHI,"30.7","35","60","4","1","1","-3","0"
"92",8,"Todd Gurley II",FA,"163.2","195","678","9","35","25","164","0"
"93",8,"Duke Johnson Jr.",FA,"84.4","77","235","1","35","28","249","1"
"94",8,"Ito Smith",FA,"57.3","63","268","1","26","17","75","0"
"95",8,"Jordan Wilkins",IND,"61.3","84","308","1","16","12","105","0"
"96",8,"Adrian Peterson",FA,"124.5","156","604","7","18","12","101","0"
"97",8,"Jermar Jefferson",DET,"0","0","0","0","0","0","0","0"
"98",9,"Chris Thompson",FA,"42.6","7","20","0","23","20","146","1"
"99",9,"Peyton Barber",WAS,"55","94","258","4","7","4","12","0"
"100",9,"Xavier Jones",LAR,"0","0","0","0","0","0","0","0"
"101",9,"Larry Rountree III",LAC,"0","0","0","0","0","0","0","0"
"102",9,"Elijah Mitchell",SF,"0","0","0","0","0","0","0","0"
"103",9,"Mike Boone",DEN,"14.9","11","59","1","2","2","10","0"
"104",9,"Royce Freeman",DEN,"37.1","35","170","0","13","12","81","0"
"105",9,"Qadree Ollison",ATL,"0.3","1","3","0","0","0","0","0"
"106",9,"Bryce Love",FA,"0","0","0","0","0","0","0","0"
"107",9,"Chris Evans",CIN,"0","0","0","0","0","0","0","0"
"108",9,"Jake Funk",LAR,"0","0","0","0","0","0","0","0"
"109",9,"Dare Ogunbowale",JAC,"29.9","32","145","0","20","10","54","0"
"110",9,"Devine Ozigbo",JAC,"13.3","1","1","0","9","9","42","0"
"111",9,"Khalil Herbert",CHI,"0","0","0","0","0","0","0","0"
"112",9,"Kylin Hill",GB,"0","0","0","0","0","0","0","0"
"113",9,"Frank Gore",FA,"100.2","187","653","2","19","16","89","0"
"114",9,"LeSean McCoy",FA,"28.2","10","31","0","19","15","101","0"
"115",9,"Darwin Thompson",KC,"33.2","27","97","1","11","7","65","1"
"116",9,"Kene Nwangwu",MIN,"0","0","0","0","0","0","0","0"
"117",10,"Jaret Patterson",WAS,"0","0","0","0","0","0","0","0"
"118",10,"Gerrid Doaks",MIA,"0","0","0","0","0","0","0","0"
"119",10,"Travis Homer",SEA,"32.8","25","88","0","10","9","90","1"
"120",10,"Kyle Juszczyk",SF,"81.6","17","64","2","29","19","202","4"
"121",10,"Raymond Calais",LAR,"0","0","0","0","0","0","0","0"
"122",10,"Alex Collins",SEA,"21.1","18","77","2","2","1","4","0"
"123",10,"Gary Brightwell",NYG,"0","0","0","0","0","0","0","0"
"124",10,"Jaylen Samuels",PIT,"16.4","9","28","0","14","9","46","0"
"125",10,"Stevie Scott III",NO,"0","0","0","0","0","0","0","0"
"126",10,"Trayveon Williams",CIN,"21.7","26","157","0","5","5","30","0"
"127",10,"JaMycal Hasty",SF,"31.1","39","148","1","8","7","33","0"
