PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,AVG_PASS_YDS,AVG_PASS_TDS,AVG_REC,AVG_REC_YDS,AVG_REC_TDS,AVG_RUSH_ATT,AVG_RUSH_YDS,AVG_RUSH_TDS
"268",12,"Nick Folk",NE,"8.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"269",12,"Indianapolis Colts",IND,"6.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"270",12,"Isaiah Likely",BAL,"6.5","0.0","0.0","2.6","26.6","0.2","0.0","0.0","0.0"
"271",12,"Michael Wilson",ARI,"0","0","0","0","0","0","0","0","0"
"272",12,"Puka Nacua",LAR,"0","0","0","0","0","0","0","0","0"
"273",12,"Deuce Vaughn",DAL,"0","0","0","0","0","0","0","0","0"
"274",12,"Zach Evans",LAR,"0","0","0","0","0","0","0","0","0"
"275",12,"Isaiah McKenzie",IND,"7.5","0.0","0.0","2.6","26.4","0.3","0.6","3.4","0.1"
"276",12,"Cedric Tillman",CLE,"0","0","0","0","0","0","0","0","0"
"277",12,"Laviska Shenault Jr.",CAR,"5.6","0.0","0.0","2.1","20.9","0.1","0.7","5.0","0.1"
"278",12,"Pierre Strong Jr.",NE,"2.7","0.0","0.0","0.7","4.2","0.0","1.0","10.0","0.1"
"279",12,"Quez Watkins",PHI,"5.0","0.0","0.0","1.9","20.8","0.2","0.2","0.1","0.0"
"280",12,"Chris Boswell",PIT,"8.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"281",12,"Carolina Panthers",CAR,"6.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"282",12,"Logan Thomas",WAS,"5.9","0.0","0.0","3.0","24.8","0.1","0.0","0.0","0.0"
"283",12,"Seattle Seahawks",SEA,"6.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"284",12,"Jake Moody",SF,"0","0","0","0","0","0","0","0","0"
"285",12,"Isaiah Spiller",LAC,"1.7","0.0","0.0","0.6","2.6","0.0","3.6","8.2","0.0"
"286",12,"Justyn Ross",KC,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"287",12,"Matt Prater",ARI,"7.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"288",12,"Riley Patterson",DET,"8.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"289",12,"Evan Hull",IND,"0","0","0","0","0","0","0","0","0"
"290",12,"Keaontay Ingram",ARI,"1.6","0.0","0.0","0.4","1.9","0.0","2.5","5.5","0.1"
"291",12,"Los Angeles Rams",LAR,"6.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"292",12,"Braxton Berrios",MIA,"3.4","0.0","0.0","1.1","8.5","0.0","0.5","5.4","0.1"
"293",12,"Latavius Murray",BUF,"11.0","0.0","0.0","1.9","9.4","0.0","12.2","54.3","0.4"
"294",12,"New York Giants",NYG,"6.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"295",13,"Russell Gage",TB,"9.5","0.0","0.0","3.9","32.8","0.4","0.0","0.0","0.0"
"296",13,"Tennessee Titans",TEN,"6.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"297",13,"Nick Westbrook-Ikhine",TEN,"5.2","0.0","0.0","1.6","24.8","0.2","0.0","0.0","0.0"
"298",13,"Dustin Hopkins",LAC,"8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"299",13,"Chris Evans",CIN,"1.3","0.0","0.0","0.3","3.8","0.1","0.0","0.0","0.0"
"300",13,"Zack Moss",IND,"5.0","0.0","0.0","0.8","3.0","0.0","7.2","35.1","0.1"
"301",13,"Sean Tucker",TB,"0","0","0","0","0","0","0","0","0"
"302",13,"Cairo Santos",CHI,"6.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"303",13,"Matt Breida",NYG,"3.5","0.0","0.0","1.2","6.9","0.0","3.2","12.9","0.1"
"304",13,"Israel Abanikanda",NYJ,"0","0","0","0","0","0","0","0","0"
"305",13,"Devin Duvernay",BAL,"8.3","0.0","0.0","2.6","29.1","0.2","0.9","6.0","0.1"
"306",13,"Jordan Mason",SF,"2.6","0.0","0.0","0.0","0.0","0.0","3.6","21.5","0.1"
"307",13,"Detroit Lions",DET,"5.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"308",13,"Greg Dortch",ARI,"7.1","0.0","0.0","3.3","29.2","0.1","0.4","2.8","0.0"
"309",13,"Ka'imi Fairbairn",HOU,"7.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"310",13,"JaMycal Hasty",JAC,"5.0","0.0","0.0","1.5","8.6","0.1","3.3","13.9","0.1"
"311",13,"Kayshon Boutte",NE,"0","0","0","0","0","0","0","0","0"
"312",13,"Deon Jackson",IND,"7.0","0.0","0.0","2.5","17.4","0.1","5.7","19.7","0.1"
"313",13,"D'Ernest Johnson",JAC,"0.5","0.0","0.0","0.3","0.7","0.0","0.4","1.7","0.0"
"314",13,"DeWayne McBride",MIN,"0","0","0","0","0","0","0","0","0"
"315",13,"Austin Hooper",LV,"5.7","0.0","0.0","2.4","26.1","0.1","0.0","0.0","0.0"
"316",13,"David Bell",CLE,"3.0","0.0","0.0","1.6","14.3","0.0","0.0","0.0","0.0"
"317",13,"Boston Scott",PHI,"3.1","0.0","0.0","0.3","1.0","0.0","3.6","14.5","0.2"
"318",13,"Daniel Bellinger",NYG,"6.8","0.0","0.0","2.7","24.4","0.2","0.1","0.2","0.1"
"319",13,"Zonovan Knight",NYJ,"8.4","0.0","0.0","1.9","14.3","0.0","12.1","42.9","0.1"
"320",13,"Malik Davis",DAL,"5.7","0.0","0.0","1.0","10.5","0.0","6.3","26.8","0.2"
"321",13,"Brett Maher",DEN,"9.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"322",13,"Cade York",CLE,"7.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"323",13,"James Robinson",FA,"8.1","0.0","0.0","1.0","4.6","0.2","10.0","38.6","0.3"
"324",13,"Deonte Harty",BUF,"0.3","0.0","0.0","0.5","3.3","0.0","0.0","0.0","0.0"
"325",13,"Tutu Atwell",LAR,"5.3","0.0","0.0","1.5","24.8","0.1","0.8","2.8","0.1"
"326",13,"Jacoby Brissett",WAS,"12.5","186.3","0.9","0.0","0.0","0.0","3.5","17.4","0.1"
"327",13,"Trey Lance",DAL,"4.5","64.7","0.0","0.0","0.0","0.0","5.3","22.3","0.0"
"328",13,"Cameron Dicker",LAC,"8.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"329",13,"Kyle Philips",TEN,"3.0","0.0","0.0","2.0","19.5","0.0","0.0","0.0","0.0"
"330",13,"Minnesota Vikings",MIN,"6.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"331",13,"Nelson Agholor",BAL,"5.0","0.0","0.0","2.1","24.1","0.1","0.0","0.0","0.0"
"332",13,"Eric Gray",NYG,"0","0","0","0","0","0","0","0","0"
"333",13,"Hassan Haskins",TEN,"1.9","0.0","0.0","0.8","4.1","0.0","1.8","6.6","0.0"
"334",13,"Michael Badgley",TEN,"9.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
