"RK",TIERS,"PLAYER NAME",TEAM,"FAN PTS","PASS_YDS","PASS_TDS","REC","REC_YDS","REC_TDS","RUSH_ATT","RUSH_YDS","RUSH_TDS"
"311",13,"JaMycal Hasty",JAC,"49.5","0","0","21","121","1","46","194","2"
"312",13,"Braxton Berrios",MIA,"39.7","0","0","18","145","0","9","91","2"
"313",13,"Jordan Mason",SF,"31.8","0","0","0","0","0","43","258","1"
"314",13,"Ronald Jones II",DAL,"15.2","0","0","1","22","0","17","70","1"
"315",13,"Russell Gage",TB,"72.6","0","0","51","426","5","0","0","0"
"316",13,"Ka'imi Fairbairn",HOU,"132","0","0","0","0","0","0","0","0"
"317",13,"James Robinson",FA,"77.6","0","0","11","51","2","110","425","3"
"318",13,"Tyrion Davis-Price",SF,"9.9","0","0","0","0","0","34","99","0"
"319",13,"Eric Gray",NYG,"0","0","0","0","0","0","0","0","0"
"320",13,"Brett Maher",DEN,"161","0","0","0","0","0","0","0","0"
"321",13,"David Bell",CLE,"21.4","0","0","24","214","0","0","0","0"
"322",13,"Austin Hooper",LV,"56.4","0","0","41","444","2","0","0","0"
"323",13,"Deon Jackson",IND,"54.5","0","0","30","209","1","68","236","1"
"324",13,"Daniel Bellinger",NYG,"45","0","0","30","268","2","1","2","1"
"325",13,"Greg Dortch",ARI,"61.1","0","0","52","467","2","7","44","0"
"326",13,"Cade York",CLE,"121","0","0","0","0","0","0","0","0"
"327",13,"Cameron Dicker",LAC,"94","0","0","0","0","0","0","0","0"
"328",13,"Tutu Atwell",LAR,"45.2","0","0","18","298","1","9","34","1"
"329",13,"Deonte Harty",BUF,"-0.7","0","0","2","13","0","0","0","0"
"330",13,"Minnesota Vikings",MIN,"106","0","0","0","0","0","0","0","0"
"331",13,"Melvin Gordon III",BAL,"62.1","0","0","25","223","0","90","318","2"
"332",13,"Trayveon Williams",CIN,"6","0","0","2","30","0","6","30","0"
"333",13,"Jacoby Brissett",WAS,"174.6","2608","12","0","0","0","49","243","2"
"334",13,"Trey Lance",DAL,"13.5","194","0","0","0","0","16","67","0"
"335",13,"Michael Badgley",TEN,"118","0","0","0","0","0","0","0","0"
"336",13,"Nelson Agholor",BAL,"44.2","0","0","31","362","2","0","0","0"
"337",13,"Hassan Haskins",TEN,"15","0","0","11","57","0","25","93","0"
"338",13,"Ke'Shawn Vaughn",TB,"7.2","0","0","3","19","0","17","53","0"
"339",14,"Kyle Philips",TEN,"3.8","0","0","8","78","0","0","0","0"
"340",14,"Eddy Pineiro",CAR,"146","0","0","0","0","0","0","0","0"
