PLAYER NAME,POS,AVG_RK,AVG_FAN PTS,AVG_PASS_TDS,AVG_PASS_YDS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,BEST_RK,FAN PTS,PASS_TDS,PASS_YDS,PPR_AVG_RK,PPR_AVG_FAN PTS,PPR_BEST_RK,PPR_FAN PTS,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,REC,REC_TDS,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,STD.DEV_RK,TEAM,TIERS,WORST_RK,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,DEPTH,STANDARD_ADP,PPR_ADP
BO MELTON,WR,313.2,7.5,0.0,0.0,4.0,0.3,54.5,0.8,0.0,5.3,266.0,29.9,0.0,0.0,313.1,11.5,266.0,45.9,334.0,30.3,14.0,399.0,16.0,1.0,218.0,338.0,3.0,0.0,21.0,26.9,GB,14.0,375.0,5,5,17,5,500.0,500
BO NIX,QB,233.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,232.5,0.0,133.0,0.0,224.0,47.6,11.0,323.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,47.0,DEN,11.0,323.0,19,20,10,1,200.0,198
BOSTON SCOTT,RB,342.0,1.0,0.0,0.0,0.3,0.0,4.3,1.7,0.0,7.2,312.0,11.8,0.0,0.0,339.2,1.3,310.0,15.8,424.0,26.0,15.0,385.0,4.0,0.0,52.0,457.0,20.0,0.0,86.0,30.8,LAR,15.0,393.0,1,2,14,0,500.0,500
BRAELON ALLEN,RB,214.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,233.3,0.0,155.0,0.0,235.0,31.3,12.0,327.0,0.0,0.0,0.0,214.0,0.0,0.0,0.0,35.2,NYJ,11.0,318.0,22,24,16,2,184.5,500
BRANDIN COOKS,WR,136.7,7.5,0.0,0.0,3.4,0.5,41.1,0.3,0.0,2.2,108.0,119.2,0.0,0.0,137.6,10.8,99.0,173.2,136.0,17.7,9.0,203.0,54.0,8.0,657.0,134.0,5.0,0.0,35.0,14.8,DAL,9.0,176.0,1,1,2,2,148.0,171
BRANDON AIYUK,WR,21.4,10.9,0.0,0.0,4.7,0.4,83.9,0.0,0.0,0.0,11.0,174.2,0.0,0.0,25.8,15.6,12.0,249.2,22.0,5.8,4.0,43.0,75.0,7.0,1342.0,21.0,0.0,0.0,0.0,5.7,SF,3.0,36.0,2,3,9,1,31.0,41
BRANDON AUBREY,K,191.1,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,181.0,0.0,0.0,191.2,10.6,186.0,181.0,191.0,11.1,11.0,281.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,10.8,DAL,11.0,281.0,7,10,6,1,187.5,85
BRANDON MCMANUS,K,259.8,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,146.0,0.0,0.0,259.8,8.6,214.0,146.0,394.0,38.9,15.0,332.0,0.0,0.0,0.0,393.0,0.0,0.0,0.0,38.9,FA,15.0,332.0,33,33,33,0,500.0,500
BRANDON POWELL,WR,331.7,2.2,0.0,0.0,1.7,0.1,19.1,0.3,0.0,1.0,265.0,38.1,0.0,0.0,326.3,3.9,246.0,67.1,365.0,40.4,14.0,376.0,29.0,1.0,324.0,371.0,5.0,0.0,17.0,36.9,MIN,14.0,390.0,10,24,3,3,500.0,500
BRAXTON BERRIOS,WR,321.6,1.9,0.0,0.0,1.7,0.1,14.9,0.1,0.0,0.7,281.0,30.9,0.0,0.0,339.1,3.6,285.0,57.9,415.0,31.0,15.0,383.0,27.0,1.0,238.0,423.0,1.0,0.0,11.0,25.6,MIA,15.0,345.0,29,12,32,4,500.0,500
