PLAYER NAME,0-19,20-29,30-39,40-49,50+,AVG_0-19,AVG_20-29,AVG_30-39,AVG_40-49,AVG_50+,AVG_BLK KICK,AVG_DEF TD,AVG_FAN PTS,AVG_FUMR,AVG_INT,AVG_PASS_ATT,AVG_PASS_COMP,AVG_PASS_INT,AVG_PASS_PCT,AVG_PASS_TDS,AVG_PASS_YDS,AVG_PTS VS.,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RET TD,AVG_RK,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_SACK,AVG_SAFE,AVG_TGT,AVG_XPA,AVG_XPM,AVG_YDS,BEST_RK,BLK KICK,BOOM,BUST,DEF TD,DEPTH,FAN PTS,FULL_SOS,FUMR,INT,PASS_ATT,PASS_COMP,PASS_INT,PASS_PCT,PASS_TDS,PASS_YDS,PLAYOFF_SOS,POS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_AVG_RK,PPR_BEST_RK,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,PTS VS.,REC,REC_TDS,REC_YDS,RET TD,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,SACK,SAFE,SEASON_SOS,STARTER,STD.DEV_RK,TEAM,TGT,TIERS,WORST_RK,XPA,XPM,YDS
JACK WESTOVER,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,,,,0.0,0.0,,0.0,0.0,27.0,,,,,,,,,18.0,,87.8,71.0,107.0,16.9,9.0,114.0,0.0,,,0.0,104.4,91.0,114.0,10.0,10.0,117.0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,29.0,0.0,,SEA,0.0,,,,,
JACKSONVILLE JAGUARS,,,,,,,,,,,0.0,0.1,7.1,0.6,0.9,,,,,0.0,0.0,0.0,,,,0.0,318.0,,,,2.4,0.0,,,,,DST18,0.0,,,2.0,,120.0,28.0,11.0,16.0,,,,,0.0,0.0,13.0,DEF,17.7,12.0,21.0,3.8,4.0,31.0,,319.0,DST18,,,,,,,,274.0,241.7,12.0,189.0,0.0,,,,0.0,269.0,,,,40.0,0.0,31.0,,240.5,JAC,,12.0,189.0,,,
JACOB COWING,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,,370.0,0.0,0.0,0.0,,,0.0,,,,WR108,,0.0,0.0,,6.0,0.0,2.0,,,,,,,0.0,0.0,9.0,WR,105.9,93.0,109.0,11.6,9.0,147.0,0.0,396.0,WR109,0.0,107.2,94.0,110.0,11.8,9.0,152.0,306.0,289.2,13.0,256.0,,0.0,0.0,0.0,,302.0,0.0,0.0,0.0,,,3.0,0.0,286.6,SF,0.0,13.0,261.0,,,
JACOBY BRISSETT,,,,,,,,,,,,,7.6,,,7.7,6.0,0.0,78%,1.0,74.7,,,,,,385.0,1.0,0.0,6.3,0.0,,,,,74.7,QB37,,0.0,100.0,,2.0,22.9,24.0,,,23.0,18.0,0.0,78%,3.0,224.0,30.0,QB,36.6,31.0,37.0,4.8,5.0,64.0,,436.0,QB37,,,,,,,,323.0,312.0,13.0,193.0,,,,,,322.0,3.0,0.0,19.0,0.0,,14.0,0.0,307.4,NE,,13.0,193.0,,,224.0
JAHAN DOTSON,,,,,,,,,,,,,4.5,,,,,,,0.0,0.0,,2.9,0.2,30.5,,220.0,0.0,0.0,0.0,,,4.9,,,,WR59,,0.0,63.0,,3.0,75.8,13.0,,,,,,,0.0,0.0,28.0,WR,59.0,45.0,59.0,5.2,6.0,79.0,7.3,222.0,WR58,124.8,58.2,44.0,57.0,5.9,6.0,82.0,141.0,143.7,9.0,99.0,,49.0,4.0,518.0,,147.0,0.0,0.0,0.0,,,4.0,13.0,151.0,WAS,83.0,9.0,108.0,,,
JAHEIM BELL,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,,371.0,0.0,0.0,0.0,,,0.0,,,,TE52,,0.0,0.0,,0.0,0.0,14.0,,,,,,,0.0,0.0,12.0,TE,48.8,41.0,52.0,3.9,6.0,55.0,0.0,374.0,TE52,0.0,49.6,43.0,52.0,3.7,7.0,56.0,377.0,348.9,14.0,305.0,,0.0,0.0,0.0,,379.0,0.0,0.0,0.0,,,20.0,0.0,345.5,NE,0.0,14.0,306.0,,,
JAHMYR GIBBS,,,,,,,,,,,,,12.7,,,,,,,0.0,0.0,,3.5,0.1,21.1,,37.0,12.1,0.7,63.0,,,4.7,,,,RB6,,29.0,0.0,,2.0,190.1,14.0,,,,,,,0.0,0.0,18.0,RB,6.1,3.0,6.0,1.6,2.0,11.0,16.1,22.0,RB4,242.1,4.9,3.0,4.0,1.1,2.0,8.0,12.0,13.1,3.0,8.0,,52.0,1.0,316.0,,14.0,182.0,10.0,945.0,,,11.0,57.0,15.0,DET,71.0,3.0,8.0,,,
JAKE BATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,28.0,,,,,,,,,9.0,,28.0,13.0,,15.0,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,0.0,,DET,,,,,,
JAKE BOBO,,,,,,,,,,,,,2.2,,,,,,,0.0,0.0,,1.1,0.1,11.5,,379.0,0.1,0.1,0.2,,,1.5,,,,WR156,,0.0,73.0,,5.0,37.9,3.0,,,,,,,0.0,0.0,4.0,WR,150.1,119.0,159.0,18.4,11.0,183.0,3.3,383.0,WR157,56.9,152.0,119.0,155.0,19.0,10.0,183.0,453.0,364.5,15.0,327.0,,19.0,2.0,196.0,,461.0,1.0,1.0,3.0,,,7.0,7.0,363.8,SEA,25.0,16.0,330.0,,,
JAKE BROWNING,,,,,,,,,,,,,16.7,,,27.0,19.0,0.8,70%,1.3,215.1,,,,,,397.0,3.0,0.3,14.1,2.7,,,,,215.1,QB45,,0.0,38.0,,2.0,150.4,30.0,,,243.0,171.0,7.0,70%,12.0,1936.0,26.0,QB,43.9,38.0,44.0,3.9,6.0,55.0,,397.0,QB44,,,,,,,,404.0,368.8,15.0,315.0,,,,,,412.0,27.0,3.0,127.0,24.0,,32.0,50.0,369.1,CIN,,15.0,315.0,,,1936.0
