PLAYER NAME,AVG_FAN PTS,AVG_PASS_ATT,AVG_PASS_COMP,AVG_PASS_INT,AVG_PASS_PCT,AVG_PASS_TDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_SACK,AVG_YDS,FAN PTS,PASS_ATT,PASS_COMP,PASS_INT,PASS_PCT,PASS_TDS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,RUSH_ATT,RUSH_TDS,RUSH_YDS,SACK,TEAM,YDS,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH
JOE MILTON,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,84.3,73,86,11.3,8,107,0.0,0.0,0.0,0.0,NE,0.0,24,14,30,0,0,0,0,0,0,0
MALIK CUNNINGHAM,0.0,0.0,0.0,0.0,NaN%,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,NaN%,0.0,70.3,57,87,13.0,8,91,0.0,0.0,0.0,1.0,BAL,0.0,8,6,17,0,100,0,0,100,0,3
TANNER MCKEE,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,85.0,78,88,4.5,8,91,0.0,0.0,0.0,0.0,PHI,0.0,17,16,13,0,0,0,0,0,0,0
DEVIN LEARY,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,82.2,67,89,14.3,8,108,0.0,0.0,0.0,0.0,BAL,0.0,8,6,17,0,0,0,0,0,0,0
BLAINE GABBERT,4.5,17.5,9.0,1.5,51%,0.0,3.5,0.0,22.5,0.5,92.5,8.9,35.0,18.0,3.0,51%,0.0,82.6,68,90,7.5,8,90,7.0,0.0,45.0,1.0,FA,185.0,33,33,33,0,100,0,0,100,0,0
MATT BARKLEY,-0.3,0.0,0.0,0.0,NaN%,0.0,3.0,0.0,-3.0,0.0,0.0,-0.3,0.0,0.0,0.0,NaN%,0.0,86.6,81,91,5.2,8,95,3.0,0.0,-3.0,0.0,FA,0.0,33,33,33,0,100,0,0,100,0,0
BRETT RYPIEN,2.9,19.0,9.0,0.5,47%,0.0,1.5,0.0,9.5,1.0,86.0,5.8,38.0,18.0,1.0,47%,0.0,86.8,78,92,5.6,8,93,3.0,0.0,19.0,2.0,CHI,172.0,4,4,12,0,100,0,0,100,0,3
DEVONTEZ WALKER,4.2,18.5,9.0,0.8,49%,0.2,2.2,0.0,5.0,1.8,112.3,25.0,111.0,54.0,5.0,49%,1.0,90.0,76,93,8.1,8,97,13.0,0.0,30.0,11.0,SEA,674.0,12,19,7,0,100,0,0,100,0,3
JEFF DRISKEL,15.9,26.0,13.0,2.0,50%,2.0,7.0,0.0,33.0,3.0,166.0,15.9,26.0,13.0,2.0,50%,2.0,85.8,54,94,18.7,8,102,7.0,0.0,33.0,3.0,WAS,166.0,13,2,29,0,0,0,0,0,0,3
BRIAN HOYER,2.3,14.0,7.7,0.7,55%,0.0,1.0,0.0,-1.0,0.3,77.0,6.9,42.0,23.0,2.0,55%,0.0,93.6,81,95,9.5,9,110,3.0,0.0,-3.0,1.0,FA,231.0,33,33,33,0,100,0,0,100,0,0
