PLAYER NAME,0-19,20-29,30-39,40-49,50+,AVG_0-19,AVG_20-29,AVG_30-39,AVG_40-49,AVG_50+,AVG_FAN PTS,AVG_XPA,AVG_XPM,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,TEAM,XPA,XPM,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER
HARRISON BUTKER,0.0,8.0,13.0,7.0,5.0,0.0,0.5,0.8,0.4,0.3,9.1,2.2,2.2,154.0,4.6,3.0,4.0,1.8,2.0,11.0,KC,38.0,38.0,18,21,10,0,0,0
JAKE BATES,,,,,,,,,,,,,,,28.0,13.0,,15.0,,43.0,DET,,,28,31,9,0,0,0
JAKE ELLIOTT,0.0,9.0,7.0,7.0,7.0,0.0,0.5,0.4,0.4,0.4,9.2,2.7,2.6,156.0,7.4,3.0,8.0,3.4,2.0,21.0,PHI,46.0,45.0,23,25,16,0,0,0
JAKE MOODY,0.0,7.0,8.0,4.0,2.0,0.0,0.4,0.5,0.2,0.1,7.7,3.6,3.5,131.0,7.1,3.0,7.0,2.8,2.0,17.0,SF,61.0,60.0,17,28,4,0,0,0
JASON MYERS,0.0,8.0,11.0,12.0,4.0,0.0,0.5,0.6,0.7,0.2,9.3,1.9,1.9,158.0,15.6,11.0,17.0,3.4,4.0,29.0,SEA,33.0,33.0,13,27,2,0,0,0
JASON SANDERS,0.0,6.0,7.0,6.0,5.0,0.0,0.4,0.4,0.4,0.3,8.6,3.5,3.4,146.0,5.6,3.0,3.0,2.6,2.0,13.0,MIA,59.0,58.0,12,5,30,0,0,0
JOEY SLYE,0.0,2.0,7.0,7.0,3.0,0.0,0.1,0.4,0.4,0.2,6.0,2.1,1.9,102.0,31.6,27.0,33.0,2.7,6.0,36.0,NE,35.0,32.0,21,18,24,0,0,0
JOSHUA KARTY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,18.0,32.0,16.9,6.0,82.0,LAR,0.0,0.0,16,20,8,0,0,0
JUSTIN TUCKER,0.0,10.0,10.0,11.0,1.0,0.0,0.6,0.6,0.6,0.1,9.4,3.1,3.0,160.0,1.5,1.0,1.0,0.7,1.0,4.0,BAL,52.0,51.0,11,6,29,0,0,0
KAIMI FAIRBAIRN,0.0,10.0,10.0,2.0,5.0,0.0,0.8,0.8,0.2,0.4,9.5,1.8,1.8,114.0,6.3,3.0,6.0,2.9,2.0,13.0,HOU,22.0,21.0,1,7,1,0,0,0
MATT GAY,0.0,9.0,9.0,7.0,8.0,0.0,0.5,0.5,0.4,0.5,9.2,2.1,2.1,157.0,12.6,7.0,12.0,1.9,3.0,16.0,IND,36.0,35.0,8,11,7,0,0,0
MATT PRATER,0.0,6.0,7.0,6.0,9.0,0.0,0.4,0.4,0.4,0.5,7.6,1.4,1.3,130.0,23.5,11.0,25.0,4.7,4.0,30.0,ARI,23.0,22.0,20,17,25,0,0,0
MICHAEL BADGLEY,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.8,0.3,0.0,6.5,3.8,3.3,26.0,19.2,4.0,19.0,5.6,4.0,25.0,DET,15.0,13.0,28,31,9,0,0,0
NICK FOLK,0.0,9.0,9.0,6.0,5.0,0.0,0.5,0.5,0.4,0.3,7.7,1.8,1.6,131.0,28.1,25.0,29.0,2.3,5.0,31.0,TEN,30.0,28.0,15,12,21,0,0,0
RAMIZ AHMED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,27.0,39.0,3.5,6.0,34.0,WAS,0.0,0.0,27,23,28,0,0,0
RANDY BULLOCK,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.3,0.3,0.2,4.8,1.7,1.7,29.0,37.0,28.0,40.0,6.7,6.0,44.0,FA,10.0,10.0,33,33,33,0,0,0
RILEY PATTERSON,0.0,2.0,11.0,2.0,1.0,0.0,0.1,0.7,0.1,0.1,6.2,2.9,2.7,93.0,30.3,24.0,35.0,4.2,6.0,37.0,JAC,44.0,41.0,5,8,5,0,0,0
TYLER BASS,0.0,4.0,12.0,4.0,4.0,0.0,0.2,0.7,0.2,0.2,7.8,2.9,2.9,133.0,7.2,3.0,5.0,2.0,2.0,13.0,BUF,50.0,49.0,24,16,27,0,0,0
WIL LUTZ,0.0,11.0,12.0,4.0,3.0,0.0,0.6,0.7,0.2,0.2,7.6,1.8,1.7,129.0,20.6,6.0,21.0,3.8,4.0,27.0,DEN,31.0,29.0,32,32,19,0,0,0
WILL REICHARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1,22.0,30.0,4.5,6.0,37.0,MIN,0.0,0.0,31,30,14,0,0,0
YOUNGHOE KOO,0.0,10.0,10.0,9.0,3.0,0.0,0.6,0.6,0.5,0.2,8.1,1.6,1.6,138.0,8.9,3.0,9.0,2.7,2.0,17.0,ATL,28.0,27.0,6,4,17,0,0,0
