PLAYER NAME,TEAM,PPR_BEST,PPR_WORST,PPR_AVG.,PPR_STD.DEV
Gardner Minshew II,JAC,167,397,355.9,25.7
Auden Tate,CIN,231,388,340.1,34.3
Maxx Williams,ARI,180,387,333,41.6
Mitchell Trubisky,BUF,241,397,358.6,33.4
Kyle Juszczyk,SF,195,380,307.6,47.4
Frank Gore,FA,327,384,350.1,18.2
Hunter Long,MIA,285,373,347.1,22.6
Alex Collins,SEA,183,376,309.8,67.5
James O'Shaughnessy,JAC,278,375,341.1,32.8
Jacob Harris,LAR,216,389,318.8,49.9
Foster Moreau,LV,305,394,363.6,18.4
Sam Ficken,TEN,252,353,321.6,21.8
Jaret Patterson,WAS,193,392,323.4,59
Chris Conley,HOU,264,372,334,30.4
David Moore,CAR,240,384,342.9,36.9
Dazz Newsome,CHI,271,374,330.1,30.3
Cam Sims,WAS,174,395,353.9,42.4
LeSean McCoy,FA,322,384,355.6,17.7
Anthony Schwartz,CLE,298,395,357.4,22.8
Darwin Thompson,KC,252,380,337.4,36.9
Raymond Calais,LAR,185,392,345.8,34.5
Geoff Swaim,TEN,311,389,365.6,16.6
Kene Nwangwu,MIN,305,382,349.9,24.1
Isaiah McKenzie,BUF,205,364,312.2,57.6
Travis Homer,SEA,235,392,344.8,28.2
JaMycal Hasty,SF,172,393,294.5,93.8
Noah Gray,KC,217,354,297,49.8
Tim Tebow,JAC,133,354,317.4,33.3
Taylor Heinicke,WAS,298,397,361.7,27
Ihmir Smith-Marsette,MIN,189,384,341.1,38.1
Lil'Jordan Humphrey,NO,240,381,303,55.4
Devin Funchess,GB,223,381,322.6,68
Damiere Byrd,CHI,297,343,327.2,18.3
Darren Fells,DET,325,390,354.5,16.1
Jaylen Samuels,PIT,256,351,311.3,34.5
Ryan Griffin,NYJ,304,389,364.1,19.1
Jacob Eason,IND,268,304,285.3,14.7
Mohamed Sanu,SF,269,347,316.5,29.4
Pooka Williams Jr.,CIN,310,371,333.2,21.9
Ameer Abdullah,MIN,257,388,334.2,47.4
Brycen Hopkins,LAR,338,394,362.9,15.4
Ryquell Armstead,FA,320,371,335.6,18.8
