PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_BEST,PPR_WORST,PPR_AVG.,PPR_STD.DEV
88,7,JARED GOFF,DET,72,128,90.6,13.0
89,8,JAYDEN DANIELS,WAS,58,235,91.4,25.9
90,8,RAHEEM MOSTERT,MIA,64,121,91.5,15.0
91,8,GEORGE KITTLE,SF,57,105,91.6,7.5
92,8,DAVID NJOKU,CLE,73,110,94.8,7.7
93,8,CALEB WILLIAMS,CHI,60,138,95.3,13.9
94,8,JUSTIN HERBERT,LAC,70,129,97.2,14.5
95,8,ZACK MOSS,CIN,64,142,97.8,18.6
96,8,TREVOR LAWRENCE,JAC,70,121,98.0,12.5
97,8,JAKE FERGUSON,DAL,73,228,98.0,16.7
98,8,BRIAN ROBINSON,WAS,71,121,99.6,13.7
99,8,TYJAE SPEARS,TEN,67,131,99.8,15.9
100,8,AUSTIN EKELER,WAS,64,144,100.0,19.2
101,8,XAVIER WORTHY,KC,73,116,100.3,11.2
102,8,TYLER LOCKETT,SEA,63,136,100.9,13.9
103,8,COURTLAND SUTTON,DEN,70,132,101.0,13.1
104,8,DALLAS GOEDERT,PHI,85,137,102.9,7.6
105,8,DEVIN SINGLETARY,NYG,69,145,103.4,15.8
106,8,CHRISTIAN WATSON,GB,53,141,103.8,16.9
107,8,KIRK COUSINS,ATL,72,146,105.6,12.6
108,8,LADD MCCONKEY,LAC,62,292,105.4,34.3
109,8,ROME ODUNZE,CHI,56,261,107.3,30.9
110,8,MATTHEW STAFFORD,LAR,82,138,112.2,11.3
111,8,JONATHON BROOKS,CAR,45,309,113.4,45.9
112,8,BROCK BOWERS,LV,78,253,114.1,28.9
113,8,JAKOBI MEYERS,LV,63,167,114.6,15.3
114,8,TJ HOCKENSON,MIN,48,157,114.6,20.4
115,8,DALTON SCHULTZ,HOU,100,157,118.2,13.2
116,9,NICK CHUBB,CLE,74,232,119.7,23.5
117,9,EZEKIEL ELLIOTT,DAL,71,176,119.7,20.5
118,9,AARON RODGERS,NYJ,83,163,120.3,14.6
119,9,PAT FREIERMUTH,PIT,94,157,120.4,16.0
120,9,BRIAN THOMAS,JAC,80,284,120.9,28.2
121,9,GUS EDWARDS,LAC,86,151,122.3,11.5
122,9,COLE KMET,CHI,94,172,123.9,17.1
123,9,DESHAUN WATSON,CLE,84,178,124.5,15.0
124,9,JEROME FORD,CLE,74,153,124.8,15.3
125,9,JAMESON WILLIAMS,DET,80,246,126.5,24.7
126,9,MIKE WILLIAMS,NYJ,77,220,127.1,21.9
127,9,BAKER MAYFIELD,TB,90,154,129.6,10.7
128,9,CURTIS SAMUEL,BUF,93,223,130.8,23.5
129,9,ZACH CHARBONNET,SEA,102,155,131.1,9.8
130,9,BRANDIN COOKS,DAL,87,173,132.4,16.9
131,9,CHASE BROWN,CIN,96,262,129.3,22.9
132,9,KEON COLEMAN,BUF,81,287,126.7,27.2
133,9,GENO SMITH,SEA,107,171,134.7,12.2
134,9,ROMEO DOUBS,GB,99,181,137.3,16.4
135,9,TREY BENSON,ARI,88,310,132.3,26.5
136,9,CHUBA HUBBARD,CAR,101,181,143.3,14.0
137,9,ANTONIO GIBSON,NE,121,181,139.9,11.9
138,9,LUKE MUSGRAVE,GB,100,245,144.6,28.0
139,9,WILL LEVIS,TEN,112,213,144.7,19.1
140,9,JOSH DOWNS,IND,106,238,141.1,25.1
141,9,JOSH PALMER,LAC,93,217,142.0,26.2
142,9,JERRY JEUDY,CLE,106,203,144.9,18.0
143,9,RASHID SHAHEED,NO,106,203,145.4,19.8
144,9,JAHAN DOTSON,WAS,99,226,146.6,21.1
145,9,ADAM THIELEN,CAR,81,267,151.3,28.2
146,9,KENDRE MILLER,NO,119,221,148.2,14.2
147,9,BLAKE CORUM,LAR,119,313,145.6,25.1
148,9,HUNTER HENRY,NE,123,225,152.8,22.6
149,9,GABRIEL DAVIS,JAC,109,198,155.9,17.3
150,10,TY CHANDLER,MIN,126,230,151.9,18.1
151,10,KHALIL SHAKIR,BUF,81,263,154.2,29.5
152,10,DEREK CARR,NO,115,275,161.9,32.3
153,10,TYLER ALLGEIER,ATL,131,256,158.5,19.5
154,10,RICO DOWDLE,DAL,121,274,159.1,26.5
155,10,JALEEL MCLAUGHLIN,DEN,101,314,160.6,33.6
156,10,DANIEL JONES,NYG,112,290,164.9,33.4
157,10,BALTIMORE RAVENS,BAL,149,191,154.7,9.7
158,10,KHALIL HERBERT,CHI,117,232,162.7,20.9
159,10,MARSHAWN LLOYD,GB,124,315,168.7,33.9
160,10,CADE OTTON,TB,137,253,173.8,25.7
161,10,ROSCHON JOHNSON,CHI,126,218,165.9,20.4
162,10,SAN FRANCISCO 49ERS,SF,150,189,162.9,8.8
163,10,JK DOBBINS,LAC,98,256,170.1,28.6
164,10,CHIGOZIEM OKONKWO,TEN,111,300,177.6,33.7
165,10,QUENTIN JOHNSTON,LAC,139,221,174.6,17.9
166,10,DALLAS COWBOYS,DAL,150,187,168.0,7.0
167,10,BRYCE YOUNG,CAR,133,275,181.2,37.0
168,10,WANDALE ROBINSON,NYG,115,240,178.9,23.1
169,10,NEW YORK JETS,NYJ,150,185,169.5,6.9
170,10,DEMARIO DOUGLAS,NE,122,231,176.1,22.7
171,10,ADONAI MITCHELL,IND,108,294,176.7,28.7
172,10,MICHAEL WILSON,ARI,132,266,180.5,22.9
173,10,JUWAN JOHNSON,NO,130,267,180.7,35.8
174,10,CLEVELAND BROWNS,CLE,150,249,172.3,13.9
175,10,MARVIN MIMS,DEN,153,274,181.6,19.2
176,10,RUSSELL WILSON,PIT,118,275,188.3,40.6
177,10,DONTAYVION WICKS,GB,117,244,183.7,24.8
178,10,DARNELL MOONEY,ATL,130,266,186.6,25.8
179,10,BUFFALO BILLS,BUF,150,248,183.7,12.7
180,10,JJ MCCARTHY,MIN,107,318,192.8,52.1
181,10,RASHOD BATEMAN,BAL,115,238,187.3,23.8
182,10,JUSTIN TUCKER,BAL,156,197,186.6,5.6
183,10,KANSAS CITY CHIEFS,KC,160,219,183.5,7.8
184,10,PITTSBURGH STEELERS,PIT,163,211,185.7,8.9
185,11,XAVIER LEGETTE,CAR,113,297,189.4,29.2
186,11,TYLER CONKLIN,NYJ,111,289,195.9,38.7
187,11,MIAMI DOLPHINS,MIA,157,248,184.7,13.2
188,11,BRANDON AUBREY,DAL,160,281,190.3,12.6
189,11,KINGSTON DAVIS,BUF,145,318,196.4,42.7
190,11,JERMAINE BURTON,CIN,115,311,202.5,35.8
191,11,ELIJAH MOORE,CLE,122,264,197.6,27.9
192,11,JAYLEN WRIGHT,MIA,131,317,194.9,39.9
193,11,NEW ORLEANS SAINTS,NO,162,279,195.5,19.4
194,11,ELIJAH MITCHELL,SF,144,256,198.6,26.2
195,11,HARRISON BUTKER,KC,167,210,195.8,7.0
196,11,DAMEON PIERCE,HOU,147,281,200.9,27.9
197,11,JASON SANDERS,MIA,161,251,198.6,12.3
198,11,JALYNN POLK,NE,120,257,196.3,27.9
199,11,PHILADELPHIA EAGLES,PHI,159,233,190.8,10.9
200,11,TUCKER KRAFT,GB,123,308,206.8,42.1
201,11,HOUSTON TEXANS,HOU,160,309,199.8,19.6
202,11,TYLER BASS,BUF,164,239,205.6,11.1
203,11,BEN SINNOTT,WAS,105,299,215.4,43.2
204,11,ROMAN WILSON,PIT,114,263,201.6,25.2
205,11,ALEXANDER MATTISON,LV,151,333,211.2,30.0
206,11,JAKE ELLIOTT,PHI,163,287,206.6,13.8
207,11,KAIMI FAIRBAIRN,HOU,166,337,204.3,19.3
208,11,JAKE MOODY,SF,169,252,210.8,12.3
209,11,NOAH FANT,SEA,137,280,213.9,31.9
210,11,TROY FRANKLIN,DEN,136,290,212.1,27.1
211,11,KENNY GAINWELL,PHI,156,291,214.9,26.4
212,11,YOUNGHOE KOO,ATL,171,281,212.8,12.3
213,11,RICKY PEARSALL,SF,114,272,205.8,28.4
