PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_FAN PTS,TGT,REC,REC_YDS,REC_TDS,RUSH_ATT,RUSH_YDS,RUSH_TDS
156,10,TRENT SHERFIELD,MIN,25.6,22,11,86,1,0,0,0
157,10,OLAMIDE ZACCHEAUS,WAS,38.4,20,10,164,2,0,0,0
158,10,MECOLE HARDMAN,KC,25.7,24,15,124,0,1,3,0
159,10,RYAN FLOURNOY,DAL,0,0,0,0,0,0,0,0
160,11,KYLE PHILIPS,TEN,31.1,22,15,181,0,0,0,0
161,11,JUSTYN ROSS,KC,11.3,11,6,53,0,0,0,0
162,11,LAVISKA SHENAULT,SEA,21.5,10,10,60,0,12,55,0
163,11,DERIUS DAVIS,LAC,35.7,17,15,66,0,14,101,0
164,11,DYAMI BROWN,WAS,35,23,12,168,1,1,0,0
165,11,ALLEN ROBINSON,NYG,62,49,34,280,0,0,0,0
166,11,CORNELIUS JOHNSON,LAC,0,0,0,0,0,0,0,0
167,11,ANTHONY GOULD,IND,0,0,0,0,0,0,0,0
168,11,DEVIN DUVERNAY,JAC,7.3,9,4,18,0,4,15,0
169,11,JERROD MEANS,NO,0,0,0,0,0,0,0,0
170,11,JHAQUAN JACKSON,TEN,0,0,0,0,0,0,0,0
171,11,KAYSHON BOUTTE,NE,3.9,7,2,19,0,0,0,0
172,11,TAHJ WASHINGTON,MIA,0,0,0,0,0,0,0,0
173,11,RAY RAY MCCLOUD,ATL,28.5,15,12,135,0,3,30,0
174,11,JALEN GUYTON,LV,24.9,21,10,89,1,0,0,0
175,11,JORDAN WHITTINGTON,LAR,0,0,0,0,0,0,0,0
176,11,LILJORDAN HUMPHREY,DEN,47.2,19,13,162,3,0,0,0
177,11,MALIK HEATH,GB,33.5,24,15,125,1,0,0,0
178,11,CASEY WASHINGTON,ATL,0,0,0,0,0,0,0,0
179,11,RICHIE JAMES,FA,19.4,14,10,114,0,0,0,0
180,11,SCOTT MILLER,PIT,39.1,16,11,161,2,0,0,0
181,11,STERLING SHEPARD,TB,20.3,22,10,57,1,1,6,0
182,11,MARCUS ROSEMY-JACKSAINT,WAS,0,0,0,0,0,0,0,0
183,11,RAKIM JARRETT,TB,10,9,4,60,0,1,0,0
184,11,JASON BROWNLEE,NYJ,16.6,8,5,56,1,0,0,0
185,11,EMEKA EMEZIE,FA,0,0,0,0,0,0,0,0
186,11,DEONTE HARTY,BAL,40,21,15,150,1,4,0,0
187,11,EQUANIMEOUS ST BROWN,NO,11.2,6,5,62,0,0,0,0
188,11,DENZEL MIMS,JAC,0,0,0,0,0,0,0,0
189,11,IHMIR SMITH-MARSETTE,CAR,32.5,10,8,51,0,8,74,1
190,11,JALEN NAILOR,MIN,5.9,6,3,29,0,0,0,0
191,11,JAMAL AGNEW,FA,40.3,21,14,225,1,4,-2,0
192,11,JALEN REAGOR,NE,28.5,23,7,138,0,1,17,0
193,12,JOSH CROCKETT,FA,0,0,0,0,0,0,0,0
194,12,DAVID MOORE,CAR,20.4,7,5,94,1,0,0,0
195,12,TREQUAN SMITH,DET,0,0,0,0,0,0,0,0
196,12,RIVER CRACRAFT,MIA,27.1,12,9,121,1,0,0,0
197,12,BRANDON JOHNSON,DEN,73.4,30,19,284,4,0,0,0
198,12,SAMORI TOURE,GB,15.8,18,8,78,0,0,0,0
199,12,VELUS JONES,CHI,11.1,7,4,20,0,8,51,0
200,12,NKEAL HARRY,MIN,0,0,0,0,0,0,0,0
201,12,ALEX ERICKSON,FA,45.2,29,16,232,1,0,0,0
202,12,RONNIE BELL,SF,30.8,13,6,68,3,0,0,0
203,12,JOSEPH PARKER,FA,0,0,0,0,0,0,0,0
204,12,DEVEN THOMPKINS,FA,34.9,25,17,83,1,8,56,0
205,12,JALEN BROOKS,DAL,12.4,6,6,64,0,0,0,0
206,12,DEVAUGHN VELE,DEN,0,0,0,0,0,0,0,0
207,12,ERIK EZUKANMA,MIA,2.2,1,0,0,0,5,22,0
208,12,LYNN BOWDEN,FA,22.5,16,11,83,0,5,32,0
209,12,KHADAREL HODGE,ATL,37.2,23,14,232,0,1,0,0
210,12,LAWRENCE CAGER,NYG,13.6,5,4,36,1,0,0,0
211,12,MARQUISE GOODWIN,FA,14,13,4,67,0,4,33,0
212,12,MARVIN JONES,FA,6.5,10,5,35,0,0,0,0
