PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_POS_BEST,PPR_POS_WORST,PPR_POS_AVG.,PPR_POS_STD.DEV
257,13,XAVIER SMITH,LAR,155,286,215.0,46.7
258,13,STANLEY MORGAN,NO,171,248,218.0,30.1
259,13,MITCHELL TINSLEY,WAS,130,232,193.0,45.0
260,13,MASON KINSEY,TEN,215,280,243.5,24.4
261,13,DANNY GRAY,SF,186,287,243.7,32.1
262,13,RANDALL COBB,FA,210,259,233.8,19.3
263,13,QUINTEZ CEPHUS,FA,199,255,234.2,20.0
264,13,MARQUISE GOODWIN,FA,214,228,220.3,5.6
265,13,ANTHONY SCHWARTZ,MIA,138,256,221.0,48.1
266,13,JAMAR BRYANT,FA,197,277,221.3,32.4
267,13,PHILLIP DORSETT,FA,208,276,235.8,22.4
268,13,JUWANN WINFREE,IND,231,252,240.2,8.6
269,13,IRVIN CHARLES,NYJ,228,251,241.4,8.0
270,13,KEITH KIRKWOOD,BAL,198,272,242.2,32.3
271,13,JAMES PROCHE,CLE,215,262,242.6,21.4
272,13,KAZMEIR ALLEN,WAS,203,216,208.7,5.4
273,13,STEVEN SIMS,HOU,214,288,242.8,31.2
274,13,MALIK TAYLOR,NYJ,226,257,244.4,11.3
275,13,BJ JOHNSON,FA,175,241,217.3,30.0
276,13,DAX MILNE,LV,176,265,239.3,36.6
277,13,AUSTIN TRAMMELL,FA,216,283,251.6,27.9
278,13,DEVRON HARPER,FA,190,244,224.3,24.4
279,13,BRYCE FORD-WHEATON,NYG,127,258,192.5,65.5
280,13,CODY THOMPSON,TB,229,276,253.8,15.2
281,13,DAVIS ALEXANDER,FA,109,288,198.5,89.5
282,13,LUCKY JACKSON,MIN,202,294,247.8,42.0
283,13,JAXON JANKE,FA,202,202,202.0,0.0
284,13,DANIEL ARIAS,FA,221,240,233.0,8.5
285,13,ANDY ISABELLA,BUF,234,274,258.0,15.7
286,13,SHEDRICK JACKSON,CIN,231,291,249.8,24.2
287,13,ANTHONY MILLER,BAL,188,277,250.3,36.2
288,13,RAMEL KEYTON,LV,202,255,236.7,24.5
289,13,GUNNER OLSZEWSKI,NYG,220,302,253.0,30.1
290,13,WILLIE SNEAD,FA,227,273,251.3,17.1
291,13,JOSHUA CEPHUS,FA,198,224,211.0,13.0
292,13,JAELON DARDEN,FA,211,299,253.8,40.4
293,13,KEELAN DOSS,FA,215,283,239.0,31.2
294,13,TYLER DAVIS,FA,140,287,213.5,73.5
295,13,COLTON DOWELL,TEN,228,289,255.0,26.2
296,13,JEFF FOREMAN,LV,195,239,217.0,22.0
297,13,KENDALL MILTON,FA,173,271,222.0,49.0
298,13,TY JAMES,FA,206,243,224.5,18.5
299,14,KWAMIE LASSITER,FA,228,284,248.3,25.3
300,14,MAURICE ALEXANDER,DET,190,263,226.5,36.5
301,14,JASON GESSER,FA,214,268,249.0,24.8
302,14,JAMES BUTLER,FA,229,263,249.7,14.8
303,14,MONTRELL WASHINGTON,KC,189,273,231.0,42.0
304,14,MICHAEL WOODS,CLE,236,236,236.0,0.0
305,14,ANDRE BACCELLIA,FA,227,246,236.5,9.5
306,14,BEN COTTON,FA,240,266,256.7,11.8
307,14,AUSTIN MACK,FA,211,280,245.5,34.5
308,14,LIDEATRICK GRIFFIN,LV,238,260,249.0,11.0
309,14,KEARIS JACKSON,TEN,240,265,252.5,12.5
310,14,BRYAN THOMPSON,FA,252,254,253.0,1.0
311,14,MARCUS ROSEMY-JACKSAINT,FA,259,272,266.7,5.6
312,14,DAMIERE BYRD,FA,267,276,271.0,3.7
313,14,DEONTE HARTY,FA,253,267,260.0,7.0
314,14,MICHAEL AVILA,FA,274,283,278.5,4.5
315,14,REGGIE BELL,FA,284,285,284.5,0.5
316,14,TYRON JOHNSON,FA,278,296,287.0,9.0
317,14,THOMASES,FA,286,298,292.0,6.0
