PLAYER NAME,TEAM,BEST,WORST,AVG.,STD.DEV
ROYCE FREEMAN,DAL,280,392,335.5,34.5
KEAONTAY INGRAM,KC,306,393,334.7,25.3
JOHNNY WILSON,PHI,286,395,341.2,27.8
LATAVIUS MURRAY,FA,280,365,331.7,26.2
MICHAEL BADGLEY,DET,197,290,242.3,34.7
SEATTLE SEAHAWKS,SEA,187,319,250.2,48.2
JOE FLACCO,IND,288,387,346.4,31.7
NEW YORK GIANTS,NYG,189,279,228.0,32.0
JAMEIS WINSTON,CLE,296,397,351.8,25.1
CADE STOVER,HOU,323,388,346.6,13.8
WILL DISSLY,LAC,289,360,340.0,21.6
CHASE MCLAUGHLIN,TB,239,288,262.8,20.9
JARRETT STIDHAM,DEN,302,397,352.6,28.5
JAHEIM BELL,NE,308,371,346.9,17.2
AINIAS SMITH,PHI,284,396,352.4,35.9
CAROLINA PANTHERS,CAR,182,278,217.3,37.7
GREG JOSEPH,GB,210,249,223.5,15.7
ATLANTA FALCONS,ATL,184,275,225.0,37.9
MATT PRATER,ARI,204,281,231.3,30.3
JAWHAR JORDAN,HOU,316,392,346.9,25.8
PARRIS CAMPBELL,PHI,247,396,319.8,48.9
TRAYVEON WILLIAMS,CIN,316,383,353.4,21.8
LOS ANGELES CHARGERS,LAC,170,351,251.3,69.8
FRANK GORE,BUF,329,382,350.1,19.5
TRENTON IRWIN,CIN,295,390,353.9,29.1
CEDRICK WILSON,NO,290,391,352.0,31.6
JOSH OLIVER,MIN,315,381,356.1,19.0
PARKER WASHINGTON,JAC,311,396,352.8,28.6
NICK WESTBROOK,TEN,306,387,353.4,22.5
CHRIS BOSWELL,PIT,252,332,309.2,26.5
GRAHAM GANO,NYG,208,239,222.7,12.7
ZACH WILSON,DEN,298,397,345.9,29.7
KENNY MCINTOSH,SEA,309,386,350.7,24.2
RILEY PATTERSON,JAC,186,278,226.0,38.5
CHASE CLAYPOOL,BUF,221,349,297.8,42.0
QUEZ WATKINS,PIT,280,396,351.4,33.9
JASE MCCLELLAN,ATL,326,382,351.5,18.6
BRANDON POWELL,MIN,306,382,352.7,22.9
WASHINGTON COMMANDERS,WAS,160,187,173.5,13.5
EDDY PINEIRO,CAR,209,332,251.3,57.1
AUSTIN HOOPER,NE,319,389,352.4,20.7
JAKE BROWNING,CIN,313,397,367.0,28.8
JAMARI THRASH,CLE,302,395,357.9,30.5
KEVIN HARRIS,NE,312,388,357.9,29.7
SEAN TUCKER,TB,296,393,344.3,36.1
ANDERS CARLSON,GB,209,214,211.5,2.5
AMEER ABDULLAH,LV,329,392,364.1,26.0
MECOLE HARDMAN,KC,231,361,307.8,47.5
XAVIER HUTCHINSON,HOU,295,390,352.9,37.0
TOMMY TREMBLE,CAR,308,381,358.1,24.0
JOHN MUNDT,MIN,341,389,358.2,13.8
DARNELL WASHINGTON,PIT,335,371,354.1,9.1
CHARLIE JONES,CIN,302,395,349.6,33.6
MAC JONES,JAC,275,374,330.8,35.7
MALIK DAVIS,DAL,299,392,356.3,36.4
ZACH EVANS,LAR,282,386,317.5,40.3
FOSTER MOREAU,NO,331,391,357.9,16.3
ADAM TRAUTMAN,DEN,344,394,366.2,16.9
XAVIER GIPSON,NYJ,328,395,366.9,20.3
NYHEIM HINES,CLE,321,393,359.3,26.4
DURHAM SMYTHE,MIA,322,385,361.4,18.4
WILL MALLORY,IND,305,389,357.3,25.2
DYAMI BROWN,WAS,285,384,341.8,32.8
TYLER GOODSON,IND,287,388,328.8,38.7
ANTHONY GOULD,IND,274,386,343.0,40.4
BRAXTON BERRIOS,MIA,326,371,343.2,15.8
NICK FOLK,TEN,192,332,262.0,70.0
JERROD MEANS,NO,314,378,353.0,24.4
CHRIS MOORE,ARI,336,384,368.4,14.6
ISAIAH HODGINS,NYG,272,396,360.4,43.0
JARED WILEY,KC,308,391,360.6,28.8
DEON JACKSON,FA,235,300,267.5,32.5
KENDALL MILTON,PHI,274,393,346.0,41.2
KYLE JUSZCZYK,SF,267,389,336.3,52.8
DEVANTE PARKER,FA,261,292,276.5,15.5
RYAN FLOURNOY,DAL,265,396,349.6,45.0
KYLE PHILIPS,TEN,302,377,337.8,27.2
LEONARD FOURNETTE,FA,264,388,318.3,51.8
BLAKE WATSON,DEN,311,364,338.5,18.9
DAVIS ALLEN,LAR,325,394,359.0,26.3
CODY SCHRADER,SF,272,388,321.0,49.0
JAMISON CROWDER,WAS,330,375,359.5,17.5
JHAQUAN JACKSON,TEN,302,396,340.8,36.4
MACK HOLLINS,BUF,326,390,375.7,17.6
JUSTYN ROSS,KC,285,350,324.3,28.2
BOSTON SCOTT,LAR,296,363,324.3,28.3
KAVONTAE TURPIN,DAL,269,330,299.5,30.5
SPENCER RATTLER,NO,328,367,349.3,14.2
JAMYCAL HASTY,NE,287,315,301.0,14.0
KENE NWANGWU,MIN,309,368,334.3,24.8
JAKE BOBO,SEA,330,379,361.2,20.0
DEEJAY DALLAS,ARI,296,319,307.5,11.5
ISAIAH MCKENZIE,NYG,315,382,353.8,28.1
TYQUAN THORNTON,NE,324,396,362.6,26.8
COLE TURNER,WAS,331,394,369.2,22.4
LUKE SCHOONMAKER,DAL,299,391,355.0,34.9
DAVID BELL,CLE,324,395,364.8,26.6
AJ BARNER,SEA,354,394,372.8,14.6
IRV SMITH,KC,353,394,368.6,14.7
