PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_FAN PTS,PASS_YDS,PASS_TDS,REC,REC_YDS,REC_TDS,RUSH_ATT,RUSH_YDS,RUSH_TDS
144,9,JALEEL MCLAUGHLIN,DEN,106,0,0,31,160,2,76,410,1
145,9,KHALIL SHAKIR,BUF,113.1,0,0,39,611,2,1,10,0
146,9,JERRY JEUDY,CLE,141.8,0,0,54,758,2,0,0,0
147,9,JAHAN DOTSON,WAS,124.8,0,0,49,518,4,0,0,0
148,9,HUNTER HENRY,NE,119.9,0,0,42,419,6,0,0,0
149,10,KENDRE MILLER,NO,43.3,0,0,10,117,0,41,156,1
150,10,TY CHANDLER,MIN,101,0,0,21,159,0,102,461,3
151,10,TYLER ALLGEIER,ATL,137.6,0,0,18,193,1,186,683,4
152,10,RICO DOWDLE,DAL,91.5,0,0,17,144,2,89,361,2
153,10,ADAM THIELEN,CAR,231,0,0,103,1014,4,1,6,0
154,10,DEREK CARR,NO,249.1,3878,25,0,0,0,32,40,0
155,10,GABRIEL DAVIS,JAC,161.4,0,0,45,746,7,1,-2,0
156,10,DANIEL JONES,NYG,63,909,2,0,0,0,40,206,1
157,10,MARSHAWN LLOYD,GB,0,0,0,0,0,0,0,0,0
158,10,DEMARIO DOUGLAS,NE,107.2,0,0,49,561,0,8,41,0
159,10,BALTIMORE RAVENS,BAL,174,0,0,0,0,0,0,0,0
160,10,JK DOBBINS,LAC,11.7,0,0,2,15,0,8,22,1
161,10,CADE OTTON,TB,116.5,0,0,47,455,4,0,0,0
162,10,DONTAYVION WICKS,GB,119.8,0,0,39,581,4,1,1,0
163,10,BRYCE YOUNG,CAR,166.4,2877,11,0,0,0,39,253,0
164,10,ADONAI MITCHELL,IND,0,0,0,0,0,0,0,0,0
165,10,KHALIL HERBERT,CHI,112.5,0,0,20,134,1,132,611,2
166,10,SAN FRANCISCO 49ERS,SF,141,0,0,0,0,0,0,0,0
167,10,ROSCHON JOHNSON,CHI,102.1,0,0,34,209,0,81,352,2
168,10,MICHAEL WILSON,ARI,114.5,0,0,38,565,3,0,0,0
169,10,TYLER CONKLIN,NYJ,123.1,0,0,61,621,0,1,0,0
170,10,DALLAS COWBOYS,DAL,178,0,0,0,0,0,0,0,0
171,10,WANDALE ROBINSON,NYG,133.2,0,0,60,525,1,9,87,1
172,10,CHIGOZIEM OKONKWO,TEN,113.4,0,0,54,528,1,2,6,0
173,10,NEW YORK JETS,NYJ,154,0,0,0,0,0,0,0,0
174,10,JALYNN POLK,NE,0,0,0,0,0,0,0,0,0
175,10,CLEVELAND BROWNS,CLE,153,0,0,0,0,0,0,0,0
176,10,RASHOD BATEMAN,BAL,76.5,0,0,32,367,1,1,18,0
177,10,XAVIER LEGETTE,CAR,0,0,0,0,0,0,0,0,0
178,10,RUSSELL WILSON,PIT,264.9,3070,26,0,0,0,80,341,3
179,10,DARNELL MOONEY,ATL,78.9,0,0,31,414,1,2,5,0
180,10,KINGSTON DAVIS,BUF,0,0,0,0,0,0,0,0,0
181,10,MARVIN MIMS,DEN,70.7,0,0,22,377,1,9,30,0
182,10,QUENTIN JOHNSTON,LAC,94,0,0,38,431,2,3,9,0
183,11,JAYLEN WRIGHT,MIA,0,0,0,0,0,0,0,0,0
184,11,JERMAINE BURTON,CIN,0,0,0,0,0,0,0,0,0
185,11,PITTSBURGH STEELERS,PIT,143,0,0,0,0,0,0,0,0
186,11,JUSTIN TUCKER,BAL,160,0,0,0,0,0,0,0,0
187,11,KANSAS CITY CHIEFS,KC,134,0,0,0,0,0,0,0,0
188,11,BUFFALO BILLS,BUF,159,0,0,0,0,0,0,0,0
189,11,ELIJAH MITCHELL,SF,47.5,0,0,6,14,0,75,281,2
190,11,JUWAN JOHNSON,NO,97.8,0,0,37,368,4,0,0,0
191,11,BRANDON AUBREY,DAL,181,0,0,0,0,0,0,0,0
192,11,NOAH FANT,SEA,73.4,0,0,32,414,0,0,0,0
193,11,PHILADELPHIA EAGLES,PHI,101,0,0,0,0,0,0,0,0
194,11,HARRISON BUTKER,KC,154,0,0,0,0,0,0,0,0
