RK,TIERS,PLAYER NAME,TEAM,FAN PTS
283,12,EVAN HULL,IND,0.7
284,13,ISRAEL ABANIKANDA,NYJ,9.3
285,13,NOAH BROWN,HOU,68.6
286,13,GREG DULCICH,DEN,2.5
287,13,ISAAC GUERENDO,SF,0
288,13,KADARIUS TONEY,KC,26
289,13,JORDAN MASON,SF,41.7
290,13,TREY SERMON,IND,17.3
291,13,MICHAEL CARTER,ARI,34.8
292,13,SAM DARNOLD,MIN,24.4
293,13,DERNEST JOHNSON,JAC,24.8
294,13,LUKE MCCAFFREY,WAS,0
295,13,CHRISTOPHER RODRIGUEZ,WAS,35.9
296,13,ZACH ERTZ,WAS,24.7
297,13,KAREEM HUNT,FA,103.5
298,13,PIERRE STRONG,CLE,37.8
299,13,BRENDEN RICE,LAC,0
300,13,DYLAN LAUBE,LV,0
301,13,AIDAN OCONNELL,LV,132.8
302,13,MICHAEL THOMAS,FA,50.8
303,13,JACOB COWING,SF,0
304,13,CORDARRELLE PATTERSON,PIT,27.9
305,13,CHASE EDMONDS,TB,25.7
306,13,ROBERT WOODS,HOU,49.3
307,13,ERIC GRAY,NYG,7
308,13,JERICK MCKINNON,FA,59.4
309,13,TYLER SCOTT,CHI,18.9
310,13,LAS VEGAS RAIDERS,LV,146
311,13,EMARI DEMERCADO,ARI,52.3
312,13,GREG ZUERLEIN,NYJ,143
313,13,RONNIE RIVERS,LAR,15.1
314,13,MICHAEL PENIX,ATL,0
315,13,CAM AKERS,FA,35.7
316,13,ISAIAH SPILLER,LAC,13
317,13,NEW ENGLAND PATRIOTS,NE,109
318,13,DANIEL BELLINGER,NYG,25.5
319,13,JALEN TOLBERT,DAL,36.8
320,13,DALVIN COOK,FA,25.2
321,13,GREG DORTCH,ARI,40.5
322,13,RASHAAD PENNY,CAR,3.8
323,13,JACOBY BRISSETT,NE,22.9
324,13,CHATARIUS ATWELL,LAR,73.4
325,13,COLBY PARKINSON,LAR,36.7
326,13,GREEN BAY PACKERS,GB,115
327,13,JOSHUA KELLEY,FA,53.7
328,13,THEO JOHNSON,NYG,0
329,13,HAYDEN HURST,LAC,24.4
330,13,MALIK WASHINGTON,MIA,0
331,13,SALVON AHMED,MIA,26.9
332,13,DONALD PARHAM,LAC,52.5
333,13,LOGAN THOMAS,SF,71.8
334,13,ALLEN LAZARD,NYJ,37.1
335,14,SAM HOWELL,SEA,277.5
336,14,MARQUEZ VALDES-SCANTLING,BUF,35.5
337,14,RASHEEN ALI,BAL,0
338,14,JUJU SMITH-SCHUSTER,NE,32
339,14,MATT BREIDA,FA,29.9
340,14,NELSON AGHOLOR,BAL,62.1
341,14,TRE TUCKER,LV,52.8
342,14,KALIF RAYMOND,DET,62.4
343,14,DARREN WALLER,FA,61.2
344,14,JAUAN JENNINGS,SF,32.5
345,14,SKYY MOORE,KC,32.7
346,14,DREW LOCK,NYG,32.1
347,14,KENNY PICKETT,PHI,114.2
348,14,NOAH GRAY,KC,42.6
349,14,WIL LUTZ,DEN,129
350,14,BO MELTON,GB,29.9
351,14,BRANDON MCMANUS,FA,146
352,14,JOHN METCHIE,HOU,16.2
353,14,DONOVAN PEOPLES-JONES,DET,15.5
354,14,VAN JEFFERSON,PIT,21.3
