PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,AVG_TGT,AVG_REC,AVG_REC_YDS,AVG_REC_TDS,AVG_RUSH_ATT,AVG_RUSH_YDS,AVG_RUSH_TDS
140,10,MICHAEL JACOBSON,NO,0,0,0,0,0,0,0,0
141,10,TOMMY SWEENEY,FA,0,0,0,0,0,0,0,0
142,10,BRYSON SUMLIN,FA,0,0,0,0,0,0,0,0
143,10,JIMMY GRAHAM,FA,2.6,0.5,0.5,3.0,0.3,0.0,0.0,0.0
144,10,TOMMY HUDSON,NO,0,0,0,0,0,0,0,0
145,10,ANTHONY FIRKSER,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,10,TRAVIS VOKOLEK,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,10,NICK GUGGEMOS,FA,0,0,0,0,0,0,0,0
148,10,TYLER DAVIS,GB,0,0,0,0,0,0,0,0
149,10,THOMAS ODUKOYA,TEN,0,0,0,0,0,0,0,0
150,10,SHANE ZYLSTRA,FA,0,0,0,0,0,0,0,0
151,10,BRYCEN HOPKINS,FA,0.9,0.5,0.3,5.2,0.0,0.0,0.0,0.0
152,10,ZAC PARKER,FA,0,0,0,0,0,0,0,0
153,10,TYLER KROFT,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,11,TIM BOYLE,FA,0,0,0,0,0,0,0,0
155,11,TYREE JACKSON,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,11,NOAH TOGIAI,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,11,COLE FOTHERINGHAM,LV,0.8,0.5,0.5,3.0,0.0,0.0,0.0,0.0
158,11,BLAKE WHITEHEART,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,11,MORAL STEPHENS,FA,0,0,0,0,0,0,0,0
160,11,ARMANI ROGERS,PHI,0,0,0,0,0,0,0,0
161,11,THOMAS YASSMIN,DEN,0,0,0,0,0,0,0,0
162,11,CURTIS HODGES,FA,0,0,0,0,0,0,0,0
163,11,TANNER CONNER,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,11,KEVIN RADER,NO,0.1,0.2,0.1,0.4,0.0,0.0,0.0,0.0
165,11,JACOB HARRIS,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,11,DAVID WELLS,TB,0.2,0.4,0.4,-2.0,0.0,0.0,0.0,0.0
167,11,TY JAMES,FA,0,0,0,0,0,0,0,0
168,11,TREY KNOX,MIN,0,0,0,0,0,0,0,0
