PPR_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,"AVG_TGT","AVG_REC","AVG_REC_YDS","AVG_REC_TDS","AVG_RUSH_ATT","AVG_RUSH_YDS","AVG_RUSH_TDS"
"248",15,"Colton Dowell",TEN,"0","0","0","0","0","0","0","0"
"249",15,"Jake Bobo",SEA,"0","0","0","0","0","0","0","0"
"250",15,"Nsimba Webster",CHI,"3.4","3.0","2.0","14.0","0.0","0.0","0.0","0.0"
"251",15,"Dylan Drummond",DET,"0","0","0","0","0","0","0","0"
"252",15,"DJ Turner",FA,"0.4","0.2","0.0","0.0","0.0","0.7","4.3","0.0"
"253",15,"Kirk Merritt",NO,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"254",15,"Vyncint Smith",IND,"0","0","0","0","0","0","0","0"
"255",15,"Cody White",FA,"1.2","1.0","1.0","2.0","0.0","0.0","0.0","0.0"
"256",15,"Bo Melton",GB,"0","0","0","0","0","0","0","0"
"257",15,"Keelan Doss",LAC,"0","0","0","0","0","0","0","0"
"258",15,"Tanner Conner",MIA,"0.0","1.5","0.0","0.0","0.0","0.0","0.0","0.0"
"259",15,"Malik Heath",GB,"0","0","0","0","0","0","0","0"
"260",15,"Matthew Slater",NE,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"261",15,"Jalen Virgil",DEN,"1.9","0.7","0.3","10.7","0.1","0.0","0.0","0.0"
"262",16,"Austin Trammell",LAR,"1.6","2.0","1.0","6.5","0.0","0.0","0.0","0.0"
"263",16,"Kawaan Baker",NO,"0","0","0","0","0","0","0","0"
"264",16,"Dontay Demus Jr.",BAL,"0","0","0","0","0","0","0","0"
"265",16,"KeeSean Johnson",BUF,"0","0","0","0","0","0","0","0"
"266",16,"Kevin Austin Jr.",JAC,"0","0","0","0","0","0","0","0"
"267",16,"Stanley Morgan Jr.",CIN,"0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.0"
"268",16,"Lance McCutcheon",LAR,"0.0","1.3","0.0","0.0","0.0","0.0","0.0","0.0"
"269",16,"Daniel Arias",ARI,"0","0","0","0","0","0","0","0"
"270",16,"Malik Taylor",NYJ,"0","0","0","0","0","0","0","0"
"271",16,"Irvin Charles",NYJ,"0","0","0","0","0","0","0","0"
"272",16,"Raleigh Webb",NE,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
