PPR_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,"AVG_RUSH_ATT","AVG_RUSH_YDS","AVG_RUSH_TDS","AVG_TGT","AVG_REC","AVG_REC_YDS","AVG_REC_TDS"
"52",6,"Kendre Miller",NO,"0","0","0","0","0","0","0","0"
"53",6,"Roschon Johnson",CHI,"0","0","0","0","0","0","0","0"
"54",6,"D'Onta Foreman",CHI,"8.2","12.7","57.1","0.3","0.6","0.3","1.6","0.0"
"55",6,"Chuba Hubbard",CAR,"6.3","6.8","33.3","0.1","1.2","1.0","12.2","0.0"
"56",6,"Jerome Ford",CLE,"0.1","0.6","0.9","0.0","0.0","0.0","0.0","0.0"
"57",6,"Zamir White",LV,"0.6","1.5","6.4","0.0","0.0","0.0","0.0","0.0"
"58",6,"Gus Edwards",BAL,"6.6","9.7","48.1","0.3","0.2","0.0","0.0","0.0"
"59",6,"Tyjae Spears",TEN,"0","0","0","0","0","0","0","0"
"60",6,"Clyde Edwards-Helaire",KC,"9.8","7.1","30.2","0.3","2.3","1.7","15.1","0.3"
"61",6,"Cordarrelle Patterson",ATL,"11.9","11.1","53.5","0.6","2.4","1.6","9.4","0.0"
"62",7,"Joshua Kelley",LAC,"5.4","5.8","23.9","0.2","2.1","1.2","8.4","0.0"
"63",7,"Kyren Williams",LAR,"3.8","4.4","17.4","0.0","1.5","1.1","9.5","0.0"
"64",7,"Michael Carter",NYJ,"7.9","7.1","25.1","0.2","3.4","2.6","18.0","0.0"
"65",7,"Chase Edmonds",TB,"5.7","5.2","18.8","0.2","1.8","1.2","12.1","0.1"
"66",7,"Chase Brown",CIN,"0","0","0","0","0","0","0","0"
"67",7,"Zach Evans",LAR,"0","0","0","0","0","0","0","0"
"68",7,"Kareem Hunt",FA,"7.5","7.2","27.5","0.2","2.6","2.1","12.4","0.1"
"69",7,"Ty Chandler",MIN,"1.0","3.0","10.0","0.0","0.0","0.0","0.0","0.0"
"70",7,"Isaiah Spiller",LAC,"1.7","3.6","8.2","0.0","0.6","0.6","2.6","0.0"
"71",7,"Pierre Strong Jr.",NE,"2.7","1.0","10.0","0.1","0.7","0.7","4.2","0.0"
"72",7,"Deuce Vaughn",DAL,"0","0","0","0","0","0","0","0"
"73",7,"Leonard Fournette",FA,"14.2","11.8","41.8","0.2","5.2","4.6","32.7","0.2"
"74",7,"Zack Moss",IND,"5.0","7.2","35.1","0.1","1.0","0.8","3.0","0.0"
"75",7,"Latavius Murray",BUF,"11.0","12.2","54.3","0.4","2.5","1.9","9.4","0.0"
"76",7,"Evan Hull",IND,"0","0","0","0","0","0","0","0"
"77",7,"Israel Abanikanda",NYJ,"0","0","0","0","0","0","0","0"
"78",7,"Matt Breida",NYG,"3.5","3.2","12.9","0.1","1.5","1.2","6.9","0.0"
"79",7,"Keaontay Ingram",ARI,"1.6","2.5","5.5","0.1","0.5","0.4","1.9","0.0"
"80",7,"Chris Evans",CIN,"1.3","0.0","0.0","0.0","0.4","0.3","3.8","0.1"
"81",7,"Sean Tucker",TB,"0","0","0","0","0","0","0","0"
"82",7,"Jordan Mason",SF,"2.6","3.6","21.5","0.1","0.0","0.0","0.0","0.0"
"83",7,"Boston Scott",PHI,"3.1","3.6","14.5","0.2","0.4","0.3","1.0","0.0"
"84",7,"D'Ernest Johnson",JAC,"0.5","0.4","1.7","0.0","0.3","0.3","0.7","0.0"
"85",8,"JaMycal Hasty",JAC,"5.0","3.3","13.9","0.1","1.9","1.5","8.6","0.1"
"86",8,"DeWayne McBride",MIN,"0","0","0","0","0","0","0","0"
"87",8,"Zonovan Knight",NYJ,"8.4","12.1","42.9","0.1","2.0","1.9","14.3","0.0"
"88",8,"Malik Davis",DAL,"5.7","6.3","26.8","0.2","1.2","1.0","10.5","0.0"
"89",8,"Tyrion Davis-Price",SF,"2.0","6.8","19.8","0.0","0.4","0.0","0.0","0.0"
"90",8,"James Robinson",FA,"8.1","10.0","38.6","0.3","1.3","1.0","4.6","0.2"
"91",8,"Deon Jackson",IND,"7.0","5.7","19.7","0.1","2.8","2.5","17.4","0.1"
"92",8,"Ronald Jones II",DAL,"3.2","3.4","14.0","0.2","0.2","0.2","4.4","0.0"
"93",8,"Hassan Haskins",TEN,"1.9","1.8","6.6","0.0","0.9","0.8","4.1","0.0"
"94",8,"Eric Gray",NYG,"0","0","0","0","0","0","0","0"
"95",8,"DeeJay Dallas",SEA,"3.1","2.3","12.4","0.0","1.3","1.1","8.4","0.0"
"96",8,"Melvin Gordon III",BAL,"8.7","9.0","31.8","0.2","3.2","2.5","22.3","0.0"
"97",8,"Trayveon Williams",CIN,"0.9","0.7","3.3","0.0","0.3","0.2","3.3","0.0"
"98",8,"Salvon Ahmed",MIA,"2.0","1.7","9.1","0.1","0.1","0.1","1.1","0.0"
"99",8,"Myles Gaskin",MIA,"4.7","5.0","13.0","0.0","3.0","2.0","14.0","0.0"
"100",8,"Ke'Shawn Vaughn",TB,"1.1","1.9","5.9","0.0","0.4","0.3","2.1","0.0"
"101",8,"Kenyan Drake",IND,"8.7","9.1","40.2","0.3","2.2","1.4","7.4","0.1"
